|glyph|phon|meaning|note|
|-----|----|-------|----|
𓁷 𓂋 𓇯||upper part, top|oberair oberer upper 
𓏇 𓈖 𓇳||today|samen day shmte ➙ heute HM hoy ⇔ heute  / šian.dien 今天 jīntiān  ←?> 当天 dāngtiān ⇔ 现在 xiànzài / ce'jour se.godnia сегодня
𓏌 𓎡 𓇭||vineyard|urchyard = orchard  court
𓏌𓅱||Can Kanne  ENDE|honor-can
𓏎 𓇯 𓀭||(divinity) Onuris| 𓏎𓏎𓏎 Honour  <> Donner Thunder:
𓏏||hazean حزين |Shanty / Shindi / Cyndi
𓏏||Meißel |
𓏏||poher'baga|power'gods / force ^^
𓏏||Hierei ~ jeRain ~ geroin ~ glawio@CES|~yiari ~ wari : early rain   ← QED SEM / ⇔ yuda / icheiri :
𓏏||Kanne Kannister |Henkel
𓏏||apt/fit :pth ~ apt@PERSI  EN/I18n|pth fit / pther:fair ⇔ feather / pthing:pleasing
𓏏 𓂋 𓇋 𓆴 𓆰||reed|sreed ➙ script, read .. / triad = treed =: reed ⇔ tree with d : EN 
𓏏 𓂋 𓊪 𓅯||an edible bird (goose ?)|tru Truthahn turkey  DE
𓏏 𓂓 𓄿 𓅱 𓊮||(the rite of) torch - lighting|tocharen / torchern  ➙ torture -- EN
𓏏 𓃀 𓇋 𓇋 𓏴||pay|_bay⇔pay 
𓏏 𓃀 𓋸||be shod|booted, obutý  ces.dic obuven
𓏏 𓅓 𓎛 𓌆||Libyans|Tefe <> off?rhein ~ Teherein = REY QED  / TameHr ? ← Tamerit=Egypt? <<
𓏏 𓅨 𓂋 𓀜||be clean|(ka)thar = clean GR / ? ~star? ⇔ Esther?
𓏏 𓅨 𓂋 𓌟 𓀁||cleanse|(ka)thar = clean GR
𓏏 𓅱 𓏏 𓀾 𓏜||be pleased, assembled, united, be in accord, full, entire, complete|tout  FR complet ← 
𓏏 𓆑 𓌫||saw|tsehn ⇔ zähn sawn  / sesn:Sägn
𓏏 𓇋 𓄿 𓄑 𓀁||shriek|siäc shriek
𓏏 𓇋 𓏏 𓂅||(written) sign|Titel title ENDE
𓏏 𓇋 𓏏 𓇋 𓂾||trample on (foe)|tete ➙ töten DE ←- FR / treten
𓏏 𓇼 𓄿 𓇳||dawn, morning|soan ⇔ jour / dan era / dawn / duan era / taun era / Früh Tau  / staunen / 
𓏏 𓈖 𓌙 𓅯 𓏜||(variant of Tni) lift up, promote, distinguish, be distinguished|tenure  (Besitz, Amtszeit) 
𓏏 𓈖 𓌰 𓅓 𓅱 𓇰||darkness, gloom|tenebre IT  ←  ROMAN, using BR ? (oscurità caligatio) / tinieblas ES / tamsybė / temnota CES.dic:darkness 
𓏏 𓈖 𓏌 𓅱 𓌙 𓅯||(int.) where ?, whence ?|~donde  ES
𓏏 𓈖 𓏌 𓏲 𓌙 𓅯 𓏛 𓏥||number|⇔tenure : Dauer ← / ⇔census / ⇔turn  ^^ / ⇔turnus / cen ⇔ ten Zehn Zahlen ?? / sn~sum
𓏏 𓈖 𓏮 𓌙 𓅯 𓈐||(int.) (variant of Tn) where ?, whence ?|donde?  / "way?" = where 
𓏏 𓈙 𓂐||spit out|tspit / ptsch  DASH desist destroy tacho=fast,far,gone tesch,test,tax,take,tauschen,Tusch,dash,desh:desist GR 'taHo  𓂡||sma), grind (corn), split (wood)|dash  EN / (s)thoßen / tacho=fast,far,gone GRguard/gator
𓏏 𓈙 𓏴 𓂻||be absent (from), be missing (from), desist (from)|desist  / desert / ⇔
𓏏 𓉐 𓃒 𓏥||stalled cattle|Taur 
𓏏 𓉔 𓂻||go astray|tacho=fast,far,gone GR-- / thoir / ? tauer take too far -
𓏏 𓉔 𓂾||attack (with)|taHo ⇔ attack   EN
𓏏 𓉔 𓂾 𓂻 𓀀||transgressor|tho.pedierer = trans.gressor  / Täter ⇔ Treter / ⇔
𓏏 𓉔 𓅪||falsify (account)  -vål|though / doch 
𓏏 𓊪 𓈖 𓈖 𓈒 𓏥||cumin|δomn / comn / cumin / 
𓏏 𓌳 𓄿 𓅓 𓎅||mat|t:mamat backwards 
𓏏 𓌳 𓅓 𓎅 𓏤||cadaster|dema... / demo  GR 
𓏏 𓌳 𓋬||mat|mat Matte backwards  / t'matte OK
𓏏 𓍃||(negative) (negates the sentence)|DONT 
𓏏 𓍃 𓅓 𓀁||close (the mouth), to hush|dim  / tomb? / tummeln
𓏏 𓍃 𓅓 𓅱 𓀀 𓏥 𓁐||totality of men, everyone|chaiman ⇔ human caiman:crocks / toumon ⇔ toulemond  ← 
𓏏 𓍔 𓄿 𓀜 𓄣 𓏤||hot temper|temper.mind = temperament EN/DE  / tem.per.hearten
𓏏 𓍯 𓀃||poverty|⇔drought torment trauma?
𓏏 𓎡 𓎡 𓏲 𓂡||violate (frontier), attack (someone)|takken:attack @SUMER  ←
𓏏 𓏐 𓀭||Thoth|Thoth OK**2 ?? 
𓏏 𓏮||(enclitic part.) forsooth, pray|beten  / bitte / but
𓏏 𓐍 𓈗||drink deep|take tequilla dunkel  ←
𓏏 𓐍 𓏌 𓀜||be drunk|ⲑⲁϧⲓ ↔ ⲑⲓqⲓ to be drunk  be'TAKELT ⇔ tequilla ⇔ torkeln / shikkowr  ⇔ liquor tiquor tequilla --
𓏏𓁶||δhoin Stirn -|
𓏏𓂋𓅱𓆵||i-thrun yearth ← 3 three-suns threesons ➙ 4 seasons|'itera  ← / 'itera  ← / ficrwt ⇔ vyzrát @CES   again ~ vozcl الفصل / 3333333333333333333333333333333333333333333333333333333
𓏏𓄔𓀁   𓆑||schnack-talk-  DE|
𓏏𓈖  𓂽||turn ...  EN|
𓏏𓈖𓌰||dunkel ... ? --|bahim@AR
𓏏𓈖𓌰…𓅓𓅱𓇰||dunkel …? ? --|
𓏏𓈖𓌰…𓅓𓅱𓇰||dunkel …? ? --|⇔ qadar √
𓏏𓈖𓌰…𓅓𓅱𓇰||dunkel …? ? --|sku'air  obscure
𓏐||Dhuthy Theijg |
𓏒||offering ?|
𓏠 𓈖||jar|Menge, many mean measures 
𓏠 𓈖 𓇛 𓎅||basket|menaitsch? mnesh ⇔ netz / mesh  
𓏠 𓈖 𓈎 𓃀 𓉐||chapel|monchabpor : / monch chapel  / mönchs Kappelle / Mon* -''- / Maurn Kappelle
𓏠 𓈖 𓏌 𓊌||type of stone, quartz ?|Mamur : Mamor  DE IN / ⇔ 
𓏠 𓈖 𓏛||establish, press (with fingers)|montier   DE IN
𓏠 𓈖 𓏛 𓀀||so - and - so, someone|man, men   EN DE / ⇔ Mensch vs Beduin / meone
𓏠 𓈖 𓏠 𓈖 𓂻||(earth)quake, be shifted (of boundary)|meander   DE / gamn.gamn / ⇔ za‘za‘a : quake @AR / menho-menho
𓏠 𓏏 𓐪||mooring post, whipping post|mend-tau post 
𓏤 𓂋𓏤||Babar ➙ Babel  Babylon ='on' r~l|Beberland ➙ Babylon / Berbera Babur Babar Berber ←  / Baba.ur  ⇔ HumBaba Baba⇔JuPiter? / Babaroi / Barbaria ⇔ babel bla
𓏥𓐎   𓅱||shaking |
𓏮||hobeiny|'ebony  QED
𓏯||reshaiss|rejoice 
𓏱||zamar gamer: player  gambit@Shah-matt |shmo ⇔ summen ← s'musi ALT
𓏲||Nabel Navel@GR  ←|umbilical cord ⇔ omphalos = µnaval nombril@fr umbigo / السرة sura ~ Schnur?
𓏲||nau_Hunt |norther ⇔ Netzer = Hunter  
𓏲||-hundte|Bekannte  >> kenn vs reck / ←
𓏲 𓈙 𓈙 𓂺||urinate|wuss ~ phuss pass piss / ooze  woosch  / wunss punss pinsel penis pfui phoinis ⇔ first fore von / u'schütt
𓏲 𓎼 𓄿 𓋴 𓌪 𓂡||cut open, gut (fish etc)|butcher 
𓏴||*sterio |~ stern secret Schicht
𓏴  𓏲||ecept  ? /|
𓏶 𓅓 𓏮 𓏏 𓏲||between, in the midst of|inmitten #iMi 
𓐍   𓊌||Plast Pflaster Stein|Ab(k)lüftung DE ^^
𓐍 𓁺||bearded ones|grey
𓐍 𓂋 𓊪 𓅱 𓍊||mallet|'crow' / crow bar - Brechstange ???--- / cron / cruel cruncher ? / ←
𓐍 𓂋 𓏏 𓏛 𓏥|court|state, condition, affairs, concerns, requirements, products (of a place)|
𓐍 𓂋 𓏏 𓏛 𓏥 𓄣 𓏤|court|wish, desire, favour|cravet greed greatings ...
𓐍 𓂝 𓅱 𓋴 𓀜||build, construct|consstruck𓀜  EN/DE
𓐍 𓂤 𓋴 𓀧 𓂡||build up (of bricks)| construct ^^ 
𓐍 𓂸 𓏏 𓏥||do for third time, treble (revenues)|expenses / ⇔
𓐍 𓃀 𓇋 𓇋 𓏏 𓀐 𓏥||carnage|kbyt: kaputt 
𓐍 𓆑 𓂝 𓂬||~grasp, make ~captures| keptha <> kabh=hand
𓐍 𓆑 𓄿 𓏏 𓏒 𓏥|qfard|food|   <> 𓐍𓆑𓄿 xwar  chifan <> lotfan
𓐍 𓆑 𓏏|qvndo|when, according to, at the time of, when, (speech) to (someone)| quando, when
𓐍 𓆼 𓄿 𓅱||thousands| kilo 
𓐍 𓆼 𓄿 𓃀 𓏴||be bent (of arm)|kotauer bend=kowtow QED  VS / κάπτ/κύπτ ⇔ kippt ⇔ Sem g-b-b (be bent) :( ----
𓐍 𓆼 𓄿 𓃀 𓏴||be bent (of arm)|kotauer bend=kowtow QED  / cotauer ~ cotyr, kortier, eskortier, ... / ⇔ KNIE?
𓐍 𓆼 𓄿 𓅓 𓂢||bend (arm in respect), bow down|kotauer fair: Kotau=kowtow QED 
𓐍 𓆼 𓄿 𓅂||altar|khur_airan / kur-terrain  / kertzer-angle  ? / quarter-angle / cheiterang ⇔ Scheiter? / khauran / Koran ? ←
𓐍 𓆼 𓄿 𓅱 𓏏 𓄛||hide (of animal)| Kleid klhide cow-rind-leder /  / Rinde /
𓐍 𓇋 𓇋 𓀔|child|child, be a child|Chird / child  <>
𓐍 𓇋 𓇋 𓏏 𓉐|shelter|shelter|cheiitor = shelter - EN / kHüt
𓐍 𓈖 𓂋 𓇋 𓁶||restrain|canary  ®
𓐍 𓈖 𓂋 𓍕 𓀁 𓀀||criminal, prisoner|⇔ Knast Kanacki = (ein)Bucht OK 
𓐍 𓈖 𓂢||clap (hands)|KL: klatsch,clap,... -? kentel?--
𓐍 𓈖 𓂥||play music|chant  <> zimmer
𓐍 𓈖 𓂧 𓂻|Schinden|tread (ways etc), tread down (foes), offend ?|  <> send
𓐍 𓈖 𓅂||scowling (of face) ?| cringe
𓐍 𓈖 𓅂||scowling (of face) ?|Kern-anger ← ?
𓐍 𓈖 𓅯||alight (from flight), stop, halt, rest (on)|kenflui / kanpeln / camp
𓐍 𓈖 𓅯 𓀁||speech, utterance, matter, affair|conflict --- / A2: icke
𓐍 𓈖 𓆑||arrogance  G|krnsn / grinsen
𓐍 𓈖 𓇋 𓂉 𓂡||restrain|kniebuger ← / crimi-buger / komm'i'bucht / buger ⇔ burgler  
𓐍 𓈖 𓇋 𓇋 𓏏 𓅯 𓂻 𓏥 𓁐||female musicians|chantate  / comet-flyer / ⇔ comedians ←   ?? / komm-mit-fliehen
𓐍 𓈖 𓌰 𓂉 𓏥||smell|⇔kiemen / k'nez vs s'nieze/schnief/genesen  ← / khmell⇔smell? / ken maß for ing ←  
𓐍 𓈖 𓌰 𓅓 𓂉 𓀁||breathe (air), smell (odours), make sweet-smelling|Kin'mes scent / Kiemen:uf 𓌰 𓅓 𓂉 𓀁||belabour (with blows), glad, guard/gatorgladden|⇔kiemen@AR breath / Himmel  / knesset ⇔ genesen / Kin'mesver Schnt / Verschnitt  / Kindes Schnute
𓐍 𓈖 𓌰 𓅓 𓋴 𓀙 𓅯 𓏛 𓏥||mosquito|mesghir-flutterer / Moskito / Metzger-Flatter / Maskier-Flatter / ⇔kiemen@AR breath / Himmel ?
𓐍 𓈖 𓌰 𓅓 𓏏 𓂉 𓁐||prostitute|Kirmes Tsnutte  for real DE / Tsch (pst) / Hymen ⇔kiemen@AR breath / Himmel:gladden / baghi : prostitute ⇔ baggar?
𓐍 𓈖 𓌰 𓋴||type of beer|Guiness beer  N / Gynness beer / Kirmes beer
𓐍 𓈖 𓏌 𓅱 𓋴 𓅪||gnat, midge    -vål|Gnürze = Gnitze = gnat (Mücke=midge)  DE WOW
𓐍 𓈖 𓏏||(preposition) in front of, among, from, out of|kan-i@Urartu  / khint / hinter? / Kinder=Hinter-bliebene ←
𓐍 𓈖 𓏏||female musician|Kantate N / Chantesse  / 唱 chàng ⇔ song
𓐍 𓈖 𓏏 𓂉||council-chamber|council 
𓐍 𓉐||office, bureau|Kator : Kader ¬ Courter Kadi ⇔ Kato ~ officer  Krator  Qatar? / cham'por ⇔ chamber  (Kammer) / kabtor ⇔ abt ~ chapter Kapelle / ktauer
𓐍 𓊪 𓂧 𓅱 𓄹 𓏥||buttocks|Kopten-Scham / الأرداف aordaph  -?
𓐍 𓊪 𓇋 𓇋 𓏏 𓀐||death|kaputt  DE IN / kphooyth / Kuh eat / Käfer-ess
𓐍 𓊪 𓈙 𓄗||foreleg, thigh, arm|kHoshe ⇔ Hachse / chopš ~ hAxe ⇔ Hack-Haxe-axe Fleisch   ~ chop: / ceps: biceps   IN biceps ‎(“double-headed, two peaked ”) ⇔ Gipfel, caputh / kosh ⇔ kusch? Kuhschenkel? - / kosh ⇔ koscher ? kuscheln ← coucher <<? collocō = coloko ⇔ klucken / Haxe = hock ⇔ hocken  chop~guibole Hachse vs zampa~gamba~jambe / но́жка (свина́я) noschka ноги noge ~ knuckle = Hachse ⇔ Knochen vs Bein ~ bone / Hachse = golonka (PL) ⇔ Gelenk ?
𓐍 𓊪 𓊪 𓏛||strange|queer,peculiar  / khoot ⇔ quatsch? / koomisch / *foo?
𓐍 𓋉 𓉐||shrine|Kamin  DE  / ⇔ Khmon? Widder
𓐍 𓋴 𓂋 𓂡||dispel, drive away ( evil etc ) , clear (a road), remove (dirt)|chaser  ← EN / kehren
𓐍 𓋴 𓍚 𓇋 𓇋 𓏏 𓊛||sail upstream|crosswheist? / Kurs Schnitt  / Kurs Chasen ut / ^^'kanten'
𓐍 𓌴 𓁹 𓄿 𓄿 𓀔||shrink|kleiner    𓐍 𓏏 𓂷 𓂡||carve, engrave|cut, grate, grind 
𓐍 𓏏 𓆑||(adv.) .G  guard/gator
𓐍 𓏏 𓆑||enemy|'Katzen' DE  QED: / χθρός enemy GR  QED / khathr⇔Kater⇔Katzen  / Ketzener / ←?ƒ> רר shârar shaw-rar' ? צרר tsârar shûr etc / ⇔ tsade: hunt
𓐍 𓏏 𓊮||fire|khat heat  QED EN/AR / hhattab : firewood  AR ⇔ cut / qâdach kaw-dakh' קדח burn, kindle  HEB / hud : אד 'ûd ood (fire-) brand / Kerze
𓐍 𓏏 𓍔 𓄿 𓂻||creep up to|cattier ® /  / ⇔ sἑrpeton
𓐍 𓏏 𓏏||pluck (plants), to prey on|cut / ~reissen DE- ← kreisen / ⇔ al'pha-rissa الفريسة ⇔ Paris der Reisser Preussen prey  / gutt ⇔ glutton
𓐍 𓏏 𓏛 𓏥 𓎟 𓏏||everything, anything|*choses kalles : / kuhles alles @ HEB  ← / ѥter alleth
𓐍⚫||char⚫swarthy Schwartz I18N |kaspid ⇔ kaspian lapis / xasen@PERs ⇔ kaskenen green
𓐍𓍼||Schanze  DE|
𓐎||← wahh ???|plantange / plantage / ⇔botan / ⇔ hhabasa : restrain, arrest
𓐎 𓆭||cedar|Buche? / Platane
𓐑||Kabull ← Hpou|Kaburu ⇔ Hapir Käfer   ← Ruder
𓐛 𓊃 𓂻||speed, run|1. maschier  / 2. pace pass 
𓐛 𓊃 𓏋 𓀜||anoint (someone with), smear on (unguent)|2. mash ⇔ messiah  / 1. paste 
𓐛 𓊃 𓏏 𓆱||(scribe's) palette|palezte ➙ palette 
𓐛 𓏤 𓁷 𓂋 𓇯||top, upper part|part-upair = upper part  EN/EG
𓐝  𓃀||~ port ~ pod OK  QED|↮
𓐝 𓂝 𓂋 𓂧 𓎝 𓏜||fortunate, successful|fortunate  
𓐝 𓂝 𓎡 𓊛||boat|µBarkasse ⇔ embark  / Marka ⇔ Tamerika 
𓐝 𓂝 𓎼 𓄿 𓄝||skirmisher ?|Mnauisha مناوشة  eig ➙ iš OK  AR / Pirscher potyčka / paragerst --
𓐟||ałousophea الوصفة 1)alu 2)sophea 3)suffer 4)o'pha'~ba  ←|
𓐣||search? ←  rch:richt,recht  |schaur
𓐣 𓅱 𓂝 𓏏 𓏯||shell (to hold ink ?)|1) Mu.o.s.l: Muschel ⇔ Misch  / 2) DAWAT / powat: inkpot = dawat(IndPerArab)  Ful dawa, Hin davat, AR dawa / 3) pot / part? POT ⇔ plot, plate, Platte ➙ PLA ← who black magic  / dauwana : register, write in / dawa : inkpot Ful dawa, Hin davat, Ind dawat, Per dawat / dawa : treat, heal / dawa : medicine Hin dava, Per dawa, Swa dawa, Tur deva, Uzb davo / dawan : disease / ⇔ docht? ⇔ Doktor? / dawei dawei Russian: hurry up Cyka blyat, davai / dawat ⇔ divorced ⇔ trauer? / ←?>
𓐣 𓏏 𓏛 𓁐||divorced woman|Divath divorthe EN VS
𓐪 𓂧 𓂧 𓏌 𓁼||sleep|sittu shinta shantho sleep @ AKKAD   / ⇔ quit nuitte ?
