Glyphs	Convention	Transcribed	Meanings	Connection	√√	Akkadian
𒅎𒂁;𒅎𒁺𒊌;𒅎𒋺	im-dug;im-du-ug;im-tak₄	imdug	clay sling shot 	Lehm tag : teygjubyssa <> rock tag : Рогатка Rogat'ka רוגטקה rúgát'qa 弹弓 dàngōng <> ока́ток okátok		
𒅎𒋃	im-lag	imlag	pellet 	Lehm •rak rock  Lehm šita₅ ≈ shoot 𓋴 𓄝 𓏏 𓌕 𓂡		
𒋢𒅎𒂅𒈬	kuš im-du₅-mu	imdumu	leather sealing 	<<<<<<<<<<		
𒄊	imeriₓ(GIR₃ )	imeri	?	?		#? 
𒀾𒀭;𒀾𒀭;𒀾𒀭𒈾;𒀾𒀀	imĝaĝa₃;imĝaĝa;imĝaĝa₂;imĝaĝaₓ(AŠ₂ .A)	imĝaĝa	emmer beer; emmer	emmering		#dišiptuhhu;kunāšu 
𒅎𒄾	im-hul	imhul	destructive wind	hamun foul ; ἄνεμος ánemos evil		#imhullu 
𒅆𒀀;𒅆𒁉;𒅆𒂵	imhur₄;imhur₂;imhur₃	imhur	foam on water; foam on beer; foam on milk	foimer		#hurhummat mê;hurhummat šikāri;hurhummat šizbi 
𒅓	imin	imin	seven 	𓇋 𓏠 𓈖 = 𓋴 𓏠 𓈖 sieben ± ₁		
𒅎𒋺	im-kid₂	imkid	piece	Lehm? cut		#kirşu 
𒅎𒈠	im-ma	imma	last year	<> ⲣⲟⲙⲡⲓ?		#šaddaqdim 
𒅊	imma₃	imma	physiognomy, (facial) features	<		#bunnannu 
𒅎𒈠	im-ma	imma	vulva	mamma		#guruš-garaš 
𒅎𒈠𒁺	im-ma-DU	immaDU	advance? 	^?		
𒉦;𒅎𒈠𒀠;𒉥;𒉣𒇬	immal₂;im-ma-al;immal;immalₓ(NUN.LAGAR)	immal	wild cow; cow	≈ 𒀫 amar		#arhu;littu 
𒃻𒋗𒂂	immal₃  GAR.ŠU.DUGUD	immal	very plentiful; goods, property, possessions, livestock	"𒃻𒋗𒂂 GAR.ŠU	#immal₃ immens groß; gross"		#būšu;makkûru;maršītu;ţuhhudu 
𒆉;𒅘	immen;immen₂	ᵗimmen	to thirst; thirst	x צימאון tsimaon 𒌓 ጥም ṭəm  𒌓 ʕaṭaš צָמָא tsamá ظَمَأ ẓamaʔ  𒅴𒄀 ᶻemengi 𓃙 𓈗 𓀜 ⋍ 𓏠  मेमना memnā lamb		#şamû;şūmu 
𒅘𒋾;𒅴𒋼	immen₂ti;imminte	ᵗimminte	thirst	reverse צימאון tsimaon 𒌓 ጥም ṭəm		#laplaptu 
𒇌;𒇅;𒅎𒌅𒈾	immindu;immindu₂;im-tu-na	immindu	oven	imtuna ܐܲܬܘܼܢܵܐ āttuna 𓏏 𓍔 𓄿 𓉐 | kiln | तन्दूर tandūr تندور tandūr  تندور tandūr tender tandoor		#tinūru 
𒅎𒎎𒈾;𒎎𒅎𒈾	im- na₄ na;na₄ im-na	imna	clay pebble 	timpa?		
𒅎𒊑𒀀;𒅎𒊒𒀀;𒅎𒊒	im-ri-a;im-ru-a;im-ru	imria	clan	ырыу ırıw 𒅎 Rotte  vs 𒅎 Stamm զարմ zarm տոհմ tohm  𒅎 𐎜𐎎𐎚 ủmt <<		#kimtu חמולה khamúla 
𒅎𒊕𒂷	im-saĝ-ĝa₂	imsaĝ	tuft	туг tug > saĝ  tough >  Tuff < toupet topete		#imtanû 
𒅎𒋀	IM.ŠEŠ	IMŠEŠ	rainbow? 	wind-child <3		
𒅎𒋛;𒅎𒋗;𒅎𒋙	im-si;im-šu;im-šu₂	imšuk	clay covering?	Lehmzu Lehmbezug		#imšukku 
𒅎𒌓	IM.UD	IMUD	cloud? 	<		
𒅔;𒂊𒈬	in;e-mu	ᶴin	abuse	ᶴin schinden 𓂜? 		#pištu 
𒅔𒁆	in dub₂	in dub	to insult	ᶴin schinden schimpfen		#? 
𒅔	in	ᶴin	sector	зо́на zóna zone		#pilku 
𒅔𒁾	in dub	ᶴin dub	to delimit, fix a boundary	^^ √Schnitt 𓍲 𓈖 𓏌 𓏲 𓁸 		#palāku 
𒈓	ippīru	inbir	inbir	!war! 		conflict, war
𒆹𒋻	inda₂	inda	tube 	bda! أُنْبُوب ʔunbūb		
𒅔𒊑	in-dal	ᶴindal	chaff 	դարման (syn)darman		
𒅔𒁾𒁀;𒅎𒁾𒁀	in-dub-ba;im-dub-ba	ᶴinduba	boundary; demarcated zone	indurba  linderoᵇ  σύνορο sýnoroᵇ  syn'durba  sym'duba սահման sahman	<<+?	#pilku 
𒉌𒉈𒂠	i₃-ne-eš₂	ineš	now	in'itso in'jetzt #inanna  nun	<<	#inanna 
𒅔𒋾;𒂗𒋾	in-ti;en-ti	ᶴinti	way, path	ᶴin.tao 道 sinti & roma?		#alaktu 
𒅔𒃻	in-ĝar	ᶴinĝar	colon	/ https://en.wiktionary.org/wiki/colon#Translations		#paršu 
𒅔𒉡𒊑	in-nu-ri	ᶴinnuri	strainer 	salaan colino <> colon		
𒅔𒎏;𒅔𒎐	in-nin;in-nin₉	ᶴinnin	lady 	gynein		
𒅔;𒅔𒉡;𒅔𒌋𒁕	in;in-nu;in-u-da	ᶴinnu	straw	秆子 gǎnzi сламка f slamka		#tibnu toban @ Tatar
𒄑𒅔𒉡𒋗𒆥𒀀	ĝeš in-nu-šu-gur₁₀-a	innušugura	straw chopper 	√sec sekáčik šugura	<<	
𒊺𒅆𒌉;𒉺𒊺;𒉌𒋛𒈾;𒂊𒋛𒈾;𒄢;𒌋𒀜	išin;i₃-si-na;e-si-na;isinₓ(ŠE.IGI.TUR);isim₂;isim₃	isin	culm, grain stalk, stem	#išīnu ≈ a'stengel Stängel stem?		#išīnu 
𒅗;𒂊𒉈𒉘	inim;e-ne-eg₃	ᵠinim	word; matter (of affairs)	phoneme, nomen		#amatu 
𒅗𒁄	inim bala	inim bala	to converse; to translate; to speak; to twitter	blah blök		#?;awûm 
𒅗𒄄	inim gi₄	inim gi	to answer; to contest	√give?		#? 
𒅗𒍻𒂗	inim ge-en	inim gin	to confirm 	<< √con?		
𒅗𒅅	inim ĝal₂	inim ĝal	to sue, make a claim	ĝalaim?		#baqāru 
𒅗𒅅	inim-ĝal₂	inimĝal	claim	ĝalaim?		#baqru 
𒅗𒅅	inim ĝal₂	inimĝal	eloquent 	…ĝal₂ eloq… reverse -	--	
𒅗𒃻;𒅗𒂷𒂷	inim ĝar;inim ga₂ga₂	inim ĝar	to sue, to make a legal claim			#baqāru;ragāmu 
𒅗𒄾	inim hul	inim hulu	to insult	name evil insult injure		#? 
𒅗𒋧	inim sig₁₀	inim sig	to express an idea, desire	√zeig zeug		#? 
𒅗𒊹𒊹	inim šar₂šar₂	inim šar	to discuss	"𒅗𒊹𒊹 ""discuss"" di²disk rhebus pun "		#amātu šutābulu 
𒅗𒄭	inim-dug₃	inimdug	peace, reconciliation with the gods	hodug₃ hoteƒ		#salīmu 
𒅗𒌀	inim-til	inimtil	concluding statement	tell?		#kušurrā'um 
𒁱	inna	inna	fleece	𒁱 DARAsk > шэрсць šerscʹ  <> derma damask ?		#itqu 
𒉌𒉣	i₃-nun	inun	ghee, clarified butter 	"𒉌𒉌 ননী noni 𒉌𒉣	i₃-nun amanyn ""butter""  rûnê nivişk মাখণ makhon"		𒉌𒉣𒈾 ḫimētu umtu! ūnctum unt Anke 
𒉌𒉣𒄭𒂵	i₃-nun-dug₃-ga	inunduga	good quality ghee 	™		
𒉌𒉣𒄩	i₃-nun-HA	inunHA	good quality ghee 	𒄩 KU₆ <> good?		
𒅕	ir	ir	(compound verb verbal element) 			
𒄊;𒀴	ir₉;ir₃	ir	mighty	𒄊 GÌR™ 𒀴 ᵍÌR  𓅨, 𓈎𓄿𓅱𓀠,  𓋴𓂋𓃱   		#gašru 
𒄑𒅕	ĝeš ir	ir	peg	gnair > nail caravilla cheville		#irru 
𒅕𒁮	ir-dam	irdam	pig-sty	hara arret		#irritu 
𒅕	ir	ir	to plunder	rob		#šalālu 
𒀴	ir₃	ir	saying	dire		#tēltu 
𒅕;𒆜	ir;ir₇	ir	smell, scent; sweat, exudation	(ge)Ruch		#erešu;zūtu 
𒉌𒁺𒁺	i₃-ra₂ra₂	irara	oil-presser 	√gyra		
𒄊𒍞	irgi	irgi	lamed feet	𒎗 ≈ 𒍞 ≈ 𒐘 ≠ 𒍝 ≠ 𒐉 = 𒇹 LIMMU₂ LIM₂ lame #kubbulu crippel		#šēpā kubbulātu 
𒅕𒄀𒈝	ir-gi-lum	irgilum	locust 	<> 𒅕𒁍 ir-bu אַרְבֶּה arbé | locust 		
¿	irhandi	irhandi	sorcerer	?		#āšipu 
𒌷;𒌷𒆠;𒍍;𒌾;𒀕	iri;iri ki;uru₂;uru₁₁;iri₁₁	iri	city	UR Uruk urbis orbit		#ālu 
𒄿𒊑	i-ri	iri	high	ᶜi-ri  •çiri šar.qum		#šaqûm 
𒄿𒊑	i-ri	iri	to make manifest; to become	werden?		#emû;šūpû 
𒇗	irib₂	irib	?	?		#? 
𒌷𒂦;𒍍𒂦	iri-bad₃;uru₂bad₃	iribad	high city 	<> urban		
𒌷𒁄	iri-bala	iribala	rebel town 	a'rebel!		
𒌷𒂗	iri-en	iri'en	notation 	i'rishúm רישום 		
𒀍;𒌷𒃲;𒀕	irigal;iri-gal;urugal₂	irigal	earth, land; underworld; grave	eargh		#erşetu;qabru 
𒌷𒂉	iri-tuš	irituš	populated city	𓊖 cities quarters Ort orbit habitus		#? 
𒄑𒅕𒋻	ĝeš ir-ku₅	irku	?	?		#irkû 
𒅕𒄷	ir-pag	irpag	plot 	<> irrigation		
𒆜𒄷;𒆜𒊕𒄷	KASKAL mušen;ir₇-saĝ mušen	irsaĝ	pigeon	እርግብ ʾərgəb <<		#uršānu 
𒅕𒋛𒅎;𒅕𒉆	ir-si-im;ir-sim	irsim	fragrance	herb-smell?		#erešu 
𒅕𒍑𒊓	ir-us₂sa	ir'usa	absent 	raus (sein)		
𒇽𒅖𒇥;𒇽𒀸𒇥	lu₂ is-hab₂;lu₂ aš-hab	ishab	rogue, rude person	Schuft < çab < κόβαλος kóbalos Kobalt <> Schelm Schurke … <> Schabernack		#ishappu 
𒅖𒄷	is-hu kuš₇ḪU/pag	ishu	allocation? string?	…		#ishu 
𒌋𒀜	isim₃	isim	animal fattener	𒀜 ᵛAT 𒌋𒀜 fattener		#mārû 
𒄢𒊬;𒌋𒀜𒊬	isimu₂ mu₂;isimu₃ mu₂	isimu	stalk, sprout, shoot	<> seemen <> stem :		#isimû;per'um 
𒉺𒊺;𒉌𒋛𒈾;𒂊𒋛𒈾;𒊺𒅆𒌉;𒄢;𒌋𒀜	išin;i₃-si-na;e-si-na;isinₓ(ŠE.IGI.TUR);isim₂;isim₃	isin	culm, grain stalk, stem	pa.šeⁿ ᵖisin išin ⁿisin ˡisin #išīnu < thân < तना ˢtanā Stängel соломина solomina < culm ցողուն cʿoġun 茎 jīng  Strunk  		#išīnu 
𒄿𒋛𒅖;𒀅	i-si-iš;isiš₃	isiš	to laugh; laughter;	სიცილი sicili 𐎕𐎈𐎖 ṣḥq ծիծաղ cicaġ צחוק хо́хот xóxot  हास्य ˢhāsyá 𑀳𑀸𑀲𑀺𑀅 ˢhāsia ہنسی  웃음소리 useumsori смѣхъ směxŭ	<+++	#dimmatu;nissatu;ratāmu;tassistu;şiāhu;şīhu 
𒄿𒋛𒅖;𒀅	i-si-iš;isiš₃	ᶜisiš	⚡︎ wailing, lamentation, sorrow; to whisper	Schluchz <> tùžbalica túžāljka tugòvānka žalozpěv حُزْن  ˢḥuzn Susan (Heul)Suse 𒀀𒅆𒂞 er₂šeš₄		
𒄿𒋛𒅖𒃻;𒄿𒋛𒅖𒂷𒂷	i-si-iš ĝar;i-si-iš ga₂ga₂	isiš ĝar	to wail	crisis sír sirám sorg γοάω  queixume		#nasāsu 
𒉌𒋩	i₃-sur	ᵖʳisur	oil-presser	ᵖʳisur presser	-	#şāhitu 
𒅖	iš	iš	mountain(s)	𒅖 kuš₇ coast 𓈉 #ḫst 𒅖 ᴴIŠ™ 		#šadû 
𒉌𒂄	i₃-šah₂	išah	lard 	Sahm saimo  شَحْم šaḥm smout ŝmalco Schmalz са́ла sála saw̄én @sew/swine speķis Speck @ pork  szalonna sertészsír strutto  		
𒁼	išdumₓ (DU@g)	išdum	root	išdumₓ a stem		#išdu 
𒄿𒅆	i-ši	iši	radiance	𒅆 ≈ 𒌓  𓁹 ≈ 𓇳	<	#šalummatum 
𒈨	išib	išib	sorcerer, magician; incantation priest, exorcist; pure; clear; a purification priest; incantation, spell	"me:magi  sip:spell 𒈨 šip სუფთა supta šib صفی safi ""clean"""		#ellu;išippu;pašīšu;ramku;āšipu;šiptu 
𒌑𒋆;𒉌𒋆	u₂šim;i₃-šim	išim	hunger	𒉌𒋆 NI.RIK hung.rig hunger(y)		#berû 
𒄿𒅆𒄷𒋛	i-ši-u₅	išiuᵃˡᵐᵃ	deathly silence	ʸsilentio silent (french) 𒄷𒋛 Ente		#šaqummatu 
𒊯	iškila	iškila	pebble; a container	石仔 sek₆ seixo 자갈 ˢjagal Kiesel 小石 koishi zixir חַלּוּק ˣẖalúq   Kuller Kugel		#išqillatu 
𒅖𒉺𒌅;𒅖𒉺𒌈	iš-pa-tu;iš-pa-tum	išpatu	quiver	𓇋 𓋴 𓊪 𓏏 𓄛  ispt אַשְׁפָּה ʾašpā™ 𐎜𐎘𐎔𐎚 ủṯpt 		#išpatu 
𒌖;𒌖	itima₂;utima₂	itima	darkness	dim dimmed doom dunkel tenebre		#eţûtu 
𒃟	itima (GA₂×MI)	itima	shrine, chapel	a'tomb timo deem Denkmal Turm türbe? GA₂×MI chamber		#kişşu chaisse
𒄿𒋾𒈠	i-ti-ma	itima	?	?		#? 
𒌗;𒌓𒀭𒋀𒆠;𒉌𒋾;𒌗𒀭𒋀𒆠;𒄿𒋾;𒌚;𒌕	itud;itudₓ(UD.AN.ŠEŠ.KI);i₃-ti;iti₇;i-ti;itudₓ(UD@s);itudₓ(UD×BAD)	itud	month; moon	tid : Zeit  √tar.id		#arhu 
𒉌𒇻	i₃-udu	i'udu	sheep fat 	₁ fatu		
𒄿𒌓;𒄿𒀭𒌓	i-utu;i- d utu	i'utu	complaint	@judge		#tazzimtu 
𒉌𒍠𒂵	i₃-zag-ga	izaga	oil 	ᶻyaɣ 𐰖𐰍  •zagat zèjtīn ዘይቲ zäyti ዘይት zäyt •zagumen שֶׁמֶן shémen 𒉌𒄑 šamnu saitella		
𒉈;𒆠𒉈	izi;izi₂	izi	fire; brazier	𒉈 bar₇izi 𒆠𒉈 brazier		#išātu;pendû 
𒄿𒍣	i-zi	izi	?	?		#sirû 
𒉈𒆪	izi dab₅	izi dab	to light, set alight 	isiotu < piztu شْعَلَ  ʔašʕala ܛܲܦܹܐ ṭāpe		
𒄑𒍣;𒄿𒍣	iz-zi;i-zi	izid	wall; wave	hüz huts house  		#agû;igāru 
𒄑𒍣𒁕	iz-zi-da	izidda	side-wall 	a'side		
𒉈𒃻	izi-ĝar	ᶠiziĝar	torch	𐌚𐌀𐌂𐌄 face Fackel ma.zigar مَشْعَل mašʕal मशाल maśāl  свѣтꙑчь m (světyčĭ)		#dipāru 
𒅗	KA	KA	(compound verb verbal element) 	GE		
𒅗𒁾	KA dub	KA dub	?	?		#? 
𒈜𒀀;𒈜	ka₅-a;ka₅	ka'a	fox	[[cat]] Köter cotal cocal coḳal 𒈜𒀀 𐍆𐌰𐌿𐌷𐍉 FauKa₅ fox		#šēlebu 
𒆏	kab	kab	wing of a horse bit; nose-rope	Gebiss Kabel חבל khével  حبل الأنف ᵏḥabl al-'anf	<<!!	#kappu;şerretu 
𒅘	kab₂	kab	to blow away	x هف haf hiyop  tshuab •cob soprar 		#edēpu 
𒅘;𒊖	kab₂;kabₓ(SAG×A)	kab	to test; test	Geprobe  خ ب ر ḵ-b-r  خَبَرَ ḵabara, “to try <> ktiba اِخْتِبَار iḵtibār 		#latāku;litiktu 
𒋢𒅗𒁀𒁍𒌝	kuš ka-ba-bu-um	kababum	shield	𓌲 𓇋 𓎡 𓅓 𓄛 , 𓌲 𓇋 𓆎 𓅓 𓄛 𓏤  ( 𓅓 būma )		#kabābu 
𒅘𒅗𒂵	kab₂dug₄-ga	kabduga	checked 	≈ ?		
𒆏𒅗𒂵	kab-dug₄-ga	kabduga	capacity measure (container) 	capacity ≈ cup = DUG 𒂁		
𒆏𒁻	kab-su₈	kabsu	? 	?		
𒆐𒆐𒉌	kad-kad-ni	kad	open 	clad¬ <> krýt in кры́тый otkrýtyj		
𒆓;𒆒;𒍦;𒀽	kad₅;kad₄;kad₆;kad₈	kad	to tie, gather; to itch, scratch; to weave a mat?	kit gather gurt 		#harādu;harāsu;kaşāru 
𒃻𒊮𒀀	kadra	kadra	bribe; greeting gift, presents	cadeau كادو kadō ހަދިޔާ hadiyā גאָב gob.dar 𓂞𓂞  دیاری dyarî kōpare gift		#irbu;kadrû;ţātu 
𒅗𒆕	ka-du₃	kadu	cover	couvert kavt > ᵏhide		#ermu 
𒅗𒁾𒋀	KA.DUB.ŠEŠ	KADUBŠEŠ	designation of bird 	…		
𒅗𒂍𒃲	KA-e₂gal	KAegal	slander 	kashfa хула́ xulá calumnia клевета kleveta		
𒅗	ka	kag	mouth	口 kǒu 𒀸𒋰𒆸  𒅗 KAG₂ 𒄘 gù/KA Gurgel		#pû 
𒅗𒁁;𒅗𒁀;𒅗𒁇	ka bad;ka ba;ka bar	kag bad	to open the mouth; to talk	𒅗𒁇 parle  #petû ša pī petition		#petû ša pī;pûm ša ana atwî 
𒅗𒁄	ka bala	kag bal	to talk	blah;) parler		#pûm ša ana atwî 
𒅗𒂃	ka duh	kag duh	'to open the mouth'	Kehldevide?		#pû petû 
𒅗𒁺	ka tum₂	kag tum	to bring news	Сообщать सूचना देना  Soochna Dena أخبر Akhbar		#bussuru 
𒅗𒁲	kag₂silim	kagsilim	glorification	ka.lor? glory?		#tašrihtu 
𒅗𒄦	ka-guru₇	kaguruⁿ	granary supervisor	𓁷 𓁶 𓄂 𓍲 𓏌 𓊘 chef.grain		#kagurrû #kaguruk
𒅗𒅗𒈠	ka-inim-ma	ka'inima	incantation formula	…		#? 
𒅗𒉈	KA-izi	KA'izi	burning; roasted meat	geheize		#hamāţu;šumû 
𒅗𒀝𒆕;𒆕	ka-ak kak;kak	kak	weapon 	цирхъ cirq @ guerre		
𒄑𒆕𒀀	ĝeš KAK.A	KAKA	axle	ak-ka ≈ Achse axis ἄξων áxōn axle अक्ष akṣ		#qarnu;zarû;mazzāzu 
𒅗𒆠	ka-ki	kakik	registrar for houses	Kadi? kirjaamo kairēhita-	--	#kakkiku 
𒄑𒆕𒉼	ĝeš kak-pana	kakpana	arrow; arrow head	"kök ""arrowhead"" @ Turk"		#sikkat išpati 
𒁽	kaku	kaku	to run	cycle √circle 		#lasāmu 
𒆗	kal	kal	rare, valuable	-cul klein karg		#aqāru 
𒅗𒇲𒀀	ka-la₂a	kala'a	remainder 	𓎟		
𒆗𒂵;𒆗;𒆗𒆷	kal-ga;kalag;kal-la	kalag	strong, powerful, mighty; to reinforce; to provide for	𓎟		#dannu;kubbû 
𒇥;𒆽;𒇏;𒇥;𒆠𒇲	gala₃;gala₄;gala₅;kala₃;ki-la₂	kalak	excavation, trench; storeroom	Kuhle		#kalakku 
𒌦;𒅗𒈾𒉘;𒅗𒅘	kalam;ka-na-aĝ₂;ka-naĝ	kalam	the Land (of Sumer)	Kanack Karnak KarNegro		#mātu Kar-Elam Kanack 
𒅗𒈛	ka-luh	kaluhⁿ	ritual cleansing 	clean		≈ clean
𒅗𒈝	ka-lum	kalum	?	?		#? 
𒆒	kam₃	kam	to alter 	"cambiō ""change"" ge.mùth zmeniť "		
𒆒	kam₃	kam	board, plaque	𓆎 ?		#kammu 
𒄰	kam	kam	to tune? 	canor <> 𓇖 śamar 𒍝𒈠𒊒 za-ma-ru zamár זַמָּר 		
𒈃	kama₅	kama	?	?		#ataru 
𒅗𒈠𒀭	ka-ma-an	kaman	irrigation work 	Kammern? 𓂓☾man?		
𒄰𒄰𒈠𒌈	kam-kam-ma-tum	kamkammatum	earring	𓈙 𓈖 𓍶 		#anşabtu #ⲗⲉⲟⲥ 
𒅗𒄷𒄭𒅅	ka-mud-ĝal₂	kamudĝal	advocate 	@ chamber Talmud? مُحَامٍ muḥāmin		
𒅗𒅲𒅅	ka-mu₇-ĝal₂	kamuĝal	incantation priest	@ chamber 𓇗 song? ϫⲉⲣⲉ ϫⲱⲟⲩⲓ ⲯⲁⲗⲙⲟⲥ  psalm		#wāšipu 
𒅗𒈲	KA-muš	KAmuš	tooth worm	Karies! 𒅗𒈲 KAʳmuš KIR₄muš *kŕ̥miš		#tûltu 
𒆍;𒅗	kan₄;KA	kan	gate, door	кав kav gate		#bābu 
𒅤;𒅸;𒊝	kana₆;kana₅;kana₃	kana	dark, gloomy; gloom	"უკუნი uḳuni cendra  𒈪 GIǦ /ging/ <> караңгы karaŋgı <> 𓎡𓎡𓇰 konegra @ Kongo 𒋯 gansis ""darkness"" @ Ganges "		#adāruᵏ
𒅺	|KA×NE|	KANE	to blaze? 	/?		
𒆠𒆗	kankal	kankal	oil-processing, perfume-making	…		#tarqītu 
𒅗𒀭𒊭𒊭;𒂵𒀭𒊭𒊭	ka-an-ša-ša;ga-an-ša-ša	kanšaša	overpowering	con…sobirátʹ собира́ть  con…zwingen con…alistaa	-	#muktaššaššu 
𒃸𒃸;𒃸	kar₂kar₂;kar₂	karˢ	to blow; to light up, shine; to rise	ქრის kris ჩახჩახებს čaxčax…  吹 chuī 颳／刮 guā փչել pʿčʿel  זָרַח  zarákh شَعّ šaʕʕ strahl		#napāhu 
𒋼𒀀	kar	kar	to flee; to take away (by force), remove; to deprive; to save	cour- 𓂻  هَرَبَ ᵏharaba  te.mu türm- te.bu 逃跑 táopǎo 	<+	#ekēmu;eţēru;mašā'u;nērubu 
𒋼𒀀	kar	kar	harbor, quay	karport > harbor √[[care]] 𒅗𒊒  ka-ru (bank, port, quay)		#kāru 
𒃸	kar₂	kar	to insult, slander	√guerre		#ţapālu 
𒋼𒀀	kar	kar	senior 	𓎡 𓎛 𓎡 𓎛 𓀗 | old | 𒋼𒀀 kar² ghiero γέρων gero		
𒃫 	karam	karam	heap, ruin mound	Kram		#karmu 
𒆠𒆘	karaš	karaš	military camp	•Kreis @Kriegs guerre		#karāšu 
𒋼𒀀𒆤;𒊩𒆳𒋼𒀀𒀝;𒋼𒀀𒀝;𒊩𒆳𒋼𒀀𒀝𒆤;𒊩𒆳𒋼𒀀𒆤𒀝;𒊩𒆳𒋼𒀀𒆤;𒊩𒍑𒋼𒀀𒀝;𒊩𒍑	kar-kid;geme₂ kar-kid₃;kar-kid₃;geme₂ kar-kid₃ kid;geme₂ kar- kid kid₃;geme₂ kar-kid;geme₂ karkidₓ(SAL.UŠ) kar-kid₃;karkidₓ(SAL.UŠ)	karkid	prostitute	ку́рва kúrva @ Kerker kid @ Kette ᵏHure huorata ukahaba <> Göre		#harīmtu 
𒁽𒋼𒀀	kas₄kar	kas kar	to run	@circle <> შიკრიკი šiḳriḳi:		#lasāmu;nērubu 
𒁽𒊬	kas₄sar	kas sar	to run	•kars  course cursor		#lasāmu 
𒁽𒁺	kas₄du	kas du	to run	^		#? 
𒁽𒅗	kas₄dug₄	kas dug	to run	@gazelle		#lasāmu;nērubu 
𒁽𒁯	kas₄gun₃	kas gun	to run	Gas geben;)		#? 
𒁽;𒆜	kaš;kaš₂	kaš	beer; alcoholic drink	cross? gyr? << curl gär- cruise(journey) ?		#šikaru 
𒁽;𒇽𒁽	kaš₄	kaš	runner, trotter, messenger; to run	koşucu قاصد qâsed  قَاصِد qāṣid •kars  course cursor coureuse кур'е́р kurʺjér courier karere Kurier		#lasāmu;šānû 
𒁽;𒇽𒁽	lu₂ kaš₄	lukaš	messenger	𐎎𐎍𐎀𐎋 mlảk מַלְאָךְ mal'akh @ leg <> malik merkur		
𒄀𒆜	gi kaskal	kaskal	travel basket 	cista κίστη kístē <> կողով koġov	++	
𒆜	kaskal	kaskal	way, road; journey, caravan	course.cul		#harrānu 
𒄘𒍣;𒂁𒆪𒍣;𒂁𒄘𒍣;𒂁𒅗𒀀𒋢;𒂁𒅗𒍣	gu₂zi;dug KU.ZI;dug gu₂zi;dug ka-a-su;dug KA.ZI	kasu	goblet; bowl	ча́шка čáška cask 𐎋𐎒 ks kâse case Tasse κοτύλη kotúlē  καῦκος kaûkos  کوندازه kundāzá کنداره kandãra		#kāsu 
𒅗𒀸;𒂵𒆜	ka-aš;ga-eš₈	kaš	decision 	case		
𒅗𒀸𒁇	ka-aš bar	kaš bar	to make a decision	qa'bar قَرَّرَ qarrara cuir ro чыгаруу çıgaruu		#? 
𒍒	kaš₃	kaš	urine	kusi @ Uralic cayso@ Cushitic *kuńśe    v'gešt 𓅱 𓋴 𓈙 𓏏 | urine | שֶׁתֶן   mkodzo		#šīnātu 
𒍒𒋩	kaš₃sur	kaš sur	to urinate	kusiʳ		
𒁽𒋩	kaš sur	kaš sur	to ferment and filter beer; to produce beer	"coquere cocer ""cook"" хөөх xööx"		#mazû 
𒅗𒀲;𒅗𒌋𒃶	ka-šakan₃;ka-šakan	kašakanak	chief oil maker 	…		
𒁉𒀀𒋤;𒁽𒁉𒀀𒋤;𒀀𒋤	kašbir;kaš kašbir;kašbirₓ(A.SUD)	kašbir	diluted beer 	күч küç-Bier		
𒁽𒌤𒀀;𒁽𒌤	kaš-de₂a;kaš-de₂	kašdea	banquet	"comida festiva δαίς daís  daps ضِيَافَة ḍiyāfa той toy  festum ""run""  cuirm cuirrey <>"		#qerītu 
𒄑𒅗𒋙	ĝeš ka-šu₂	kašu	part of plough 	√cuts? …		
𒅗𒋰	ka-tab	katab	helper? 	cater aid kitab?		
𒅗𒋻	ka-tar	katar	(compound verb nominal element) 			
𒅗𒋻𒋛𒀧	ka-tar si-il	katar sil	to praise	G		#dalīlī dalālu 
𒅗·x	|KA×X|	KA'X	?	?		#? 
𒅗𒍥	ka-zid₂	kazidak	miller	𒆜𒋛𒁖𒆪 | miller | kas-si dak-kuⁿ kassi… चक्कीवाला cakkī'tegirmençi		#kaşşidakku 
𒄑𒆟𒁕	ĝeš keš₂da	kešda	roofing, top story	кро́вля króvlja		#taşliltu 
𒆟	keš₂	kešed	to bind	kʔasara أَسَرَ 		#rakāsu 
𒆠𒍢𒅕	ke-ze₂er	kezer	hairstyle 	keśvinyās केशविन्यास !   ;) coiffure κούρευμα koúreuma		
𒆠	ki	kiᵒ	place; ground, earth, land; toward; underworld; land, country; lower, down below	Geo court > Ort		#ašru;erşetu;mātu;qaqqaru;šaplû 
𒆠	ki	ki	with (math.)	que con		#itti 
𒆠𒉘;𒆥;𒆠𒂵𒉘;𒆠𒅅𒉘;𒆠𒅅𒂵𒉘	ki aĝ₂;kiĝ₂;ki-ga-aĝ₂;ki-ig-aĝ₂;ki-ig-ga-aĝ₂	ki aĝ	to love	каха́нне kaxánnje		#râmu 
𒆠𒁯	ki dar	ki dar	'to split the earth'	𓈋 duor Teil		#? 
𒆠𒊑	ki degₓ (RI)	ki deg	to peck the ground, to glean	be.ki.ri beccare > peck behacken		#uţţita ulaqqit 
𒆠𒃻	ki ĝar	ki ĝar	to found	𓎼 𓂋 𓍅 gründen		#? 
𒆠𒋳	ki tag	ki tag	to lay on the ground	grunden ^^		#? 
𒆠𒍑	ki us₂	ki us	to set on the ground	^		#šuršudu 
𒆠𒇲	ki la₂	ki la	to fall to the ground	gefalle… <> cavar @ excavate:		#napalsuhu 
