№	English					
55	seed	𓂸 𓏏𓏲 𓏏𓂺 𓏥		semen, seed, progeny, poison, ill- will	penith-uter / penis-outer ⇔ Eiter  / penith-ut-essence / susar@Persia! ⇔ essence Soße!	
55	seed	𓄝 𓏏𓇋𓇋𓏏𓂺 𓏥		seed, posterity	seed	
55	seed	𓅓 𓅓 𓇋𓈒 𓈒 𓈒		seed - corn		
55	seed	𓅓 𓅓 𓇋𓈒 𓈒 𓈒		seed - corn		
55	seed	𓅓 𓅓 𓇋𓈒 𓏥		seed corn of emmer ?		
55	seed	𓅓 𓅓 𓇋𓈒 𓏥		seed corn of emmer ?	EMMER! / ←VS>	
55	seed	𓅓 𓅓 𓈒 𓈒 𓈒		seed - corn		
55	seed	𓅓 𓅓 𓈒 𓈒 𓈒		seed corn of emmer ?	emmer!	
55	seed	𓅓 𓅓 𓈒 𓈒 𓈒		seed - corn		
55	seed	𓅓 𓅓 𓈒 𓈒 𓈒		seed corn of emmer ?		
55	seed	𓅓 𓏏𓂺 𓅱𓏏		seed, progeny	brutus / proseed / pros'hanus progeny / -	
55	seed	𓅓 𓏮 𓈓		seed corn of emmer ?	emmer	
55	seed	𓅓 𓏮 𓈓		seed corn of emmer ?		
55	seed	𓅖 𓇋𓇋𓅱𓈗		semen, seed of man	mayn seas : men seed = semen ++++ N / ~milch? vs / susar@Persia! ⇔ essence Soße!	
55	seed	𓆑 𓂧 𓈎 𓏴		sever, divide, part, waste , wear out 		
55	seed	𓆑 𓂧 𓈎 𓏴 𓂡		waste 	_____ / vsd'qen ok/3 / wasten / ⇔ squander / ← shekel = sichel = cut-seed	
55	seed	𓉐 𓂋 𓏏𓂺 𓈓		fruit, seed, 		
55	seed	𓉐 𓂋 𓏏𓍁 𓈓		fruit, seed, 		
55	seed	𓉐 𓂋 𓏏𓏯 𓌾 𓏥		fruit, seed, 	BRUT / phyto	
55	seed	𓉻 𓂝 𓄿 𓂝 𓂺		divine seed 		
55	seed	𓊪𓇋𓋴		tread in ? 		
55	seed	𓍁 𓂋 𓏏		fruit, seed, 	fruit EN++ fur.ḫoe.t f'reut ⇔ Furche / fawaakih AR +- / acron ← hAcker.os  /  Acker.on	
55	seed	𓍁 𓏏𓈒 𓏥		fruit, seed, 		
56	leaf	𓂝 𓂋 𓇋𓇋𓏏𓆱		leaf 	oryt.äst / Arret	
56	leaf	𓄔 𓏤		leaf	'ear' ++ / Ähre, Ohr	
56	leaf	𓇥 𓂋 𓆓 𓄔		leaf		
56	leaf	𓋴𓐟 𓄿 𓊪𓏏𓆰		lotus - leaf	shelter-foot	
57	root	𓆱𓇛		sweet nec=flag/root!! ++++++++++ ←	spetux?	
57	root	𓇡		bean-royt ~ ben-root ++ ←		
57	root	𓍯 𓄿 𓃀 𓆰		root , socket 	roopt ⇔ rupf root	
57	root	𓏠 𓈖𓇋𓇋𓏏𓆱		root, root 	manace?	
58	bark					
59	flower	𓁷 𓂋 𓂋 𓏏𓆰		flower	frrt fruit? / herrt? / herb?	
59	flower	𓃹 𓈖𓃀 𓆰		flower	sanib=heil / sanft senft sen=color / sn floher / schön flower	
59	flower	𓇇𓆰		floherth=flower plant	fl.h.t / flecht?	
59	flower	𓇬 𓈖𓃀		flower	Sonnenbl	
59	flower	𓎔      𓎔   𓋺		FL? flax, falt~volume, flower vs pound?? Flachs=pishtâh= flat fill		
59	flower	𓐍 𓈖𓂧 𓌻		bend , twist together 	 kanten<>binden	
60	grass	𓁸		hair, grass	hair, herb +++ !! 	  Schopf
60	grass	𓁸 𓏥		hair, grass		
60	grass	𓍲 𓈖𓏌𓏲 𓁸		hair, grass	Schnüren++ DE++ / ⇔Schnitter	
60	grass	𓍲 𓈖𓏮 𓁸 𓏥		hair, grass		
60	grass	𓍲 𓈖𓏌𓏲 𓁸		hair, grass	Schnüren++ DE++ / ⇔Schnitter	
60	grass	𓍲 𓈖𓏮 𓁸 𓏥		hair, grass		
61	rope	𓁷 𓏤 𓍢		a rope 	oben	
61	rope	𓂋 𓂞 𓁷 𓏤 𓇾 𓈇 𓏤		cast ashore , cast forth, expel	reach ob terra	
61	rope	𓂝 𓈎 𓄿 𓂭 𓂭 𓍢 𓏤		a type of rope		
61	rope	𓂝 𓈎 𓄿 𓍢		a type of rope		
61	rope	𓂝 𓎛 𓍢		rope	Oher << chordul	
61	rope	𓄤 𓆑 𓂋 𓇋𓇋𓍢 𓏏𓏤		tiller - rope		
61	rope	𓇋𓎛 𓍢		rope	a hrunte / a hrou ?	
61	rope	𓈎 𓄿 𓋴𓍢		rope - ladder	kasu ←? karsu ⇔ kerker? -- / ⇔capture? zurren / chase	
61	rope	𓈎 𓄿 𓋴𓍢 𓂡		string , bind , tie 		
61	rope	𓈎 𓋴𓍢 𓂡		string , bind , tie 	cross  / ⇔capture	
61	rope	𓈖𓍇 𓏌𓅱𓎛 𓍢		rope, band 		
61	rope	𓋴𓏲 𓎘 𓃀 𓄲 𓏛		© wind 		
61	rope	𓌴 𓐙 𓂝 𓂻		lead, guide, direct, send, despatch, throw out 	*masteer ++ / master / steer / دليل daɽiɽ = direct +++	
61	rope	𓍯 𓏏𓍢		draw - rope 		
61	rope	𓍱		rope		
61	rope	𓍱 𓋴𓍢		rope	Schnitt-Saum?	
62	skin	𓃀 𓅡 𓄇 𓄛		leopard skin		
62	skin	𓄚 𓈖𓏌𓅱𓅂 𓄛 𓌙 𓏥 𓀀		skin - clad people		
62	skin	𓄚 𓈖𓏏𓄛		hide, skin	xind = skin	
62	skin	𓄞 𓂧 𓄛		skin, water - skin	sheath-leather	
62	skin	𓄞 𓂧 𓅱		skin, water - skin	sheath	
62	skin	𓄟 𓋴𓂓 𓄛		skin, leather, animal hide	maskatier	
62	skin	𓇋𓆛 𓈖𓌰 𓅓 𓄛		skin , hues , development, complexion	?	
62	skin	𓊃𓊪𓆼 𓄿 𓏯 𓏛		© purge , make sleek 	zu-lairen = leeren ?	
62	skin	𓊃𓊪𓐍 𓏛		© purge , make sleek 	soak / sook ⇔ sleek / ___ / zucker  / eng-afr.dic:purge skoonmaak schön-mach 	
62	skin	𓋴𓊪𓈖𓂝 𓊛		© overturn, renew 	spin	
62	skin	𓋴𓊪𓐍 𓆼 𓄿 𓍸 𓏛		© purge , make sleek 	'ypoclast? / - matter / sphogetauen : purge -- / s'purgla	
63	meat	𓃂 𓂝 𓇋𓇋𓏏𓆇		 meat offerings	pure roit / pure roh-eat / !!++ ⇔ 肉  ròu	
63	meat	𓃂 𓃀 𓇋𓇋𓏏𓄹 𓏥		 meat offerings		
63	meat	𓃂 𓅱𓏏𓄻		meat offering		
63	meat	𓃂 𓈗 𓅱𓄹 𓏥 𓏏		 meat offerings		
63	meat	𓃂 𓏏𓄹		meat - offering	pur'd-bone ⇔ burned/purified bone	
63	meat	𓄿 𓈙 𓂋 𓄹		roast, roast meat, a roast	 asher++	
63	meat	𓅨 𓂋		portion 	Swarte	
63	meat	𓅨 𓂋 𓄻		portion 	Schwarte 	
63	meat	𓅨 𓂋 𓇋𓄹		portion of meat		
63	meat	𓆣 𓂋		fully cooked 		
63	meat	𓇋𓅱𓆑 𓄹 𓄹 𓄹		flesh, meat	un-sünde / ein'sünd-bein / ^^?	
63	meat	𓇋𓆑 𓄻 𓏥		meat		
63	meat	𓏙 𓉐 𓂋 𓂻		cut away 	beater	
64	blood	𓂧 𓈙 𓂋 𓂐		blood	dasher® *ésHr̥ PIE qed / dash-rotit? / drescher / blusher	
64	blood	𓂧 𓈙 𓂋 𓅱𓏯		blood	drescher_	
64	blood	𓂧 𓈙 𓂋 𓅱𓏯		blood	dasherud  / dasmu? damual? 	
64	blood	𓇋𓃀 𓃔 𓎛 𓈗 𓄑 𓏥		stream , be suffused 		
64	blood	𓇋𓃀 𓃙 𓎛 𓈗 𓀜		stream , be suffused 		
64	blood	𓈎 𓆑 𓈖		bake, clot 		
64	blood	𓊃𓈖𓆑 𓂐 𓏥		blood		
64	blood	𓊃𓈖𓆑 𓅱𓂐		blood	δanu ⇔ dyn.astie dam=blood@SEM zen, dome ⇔ gen same! / English PS Akkadian Arabic Hebrew Syriac Geez Mehri Phoenician / blood *dam- damu dam- dām dm-ā dam - dom / vs dashred / mud/broud:blood@SUMer / broud ←wth> / breaze ←	
64	blood	𓊪𓈖𓈎 𓂝		bail out , swab up , poke , expend 		
65	bone	𓀒 𓏏		© overthrow, throw down, force into place 	throw ↭ sharar	
65	bone	𓂝 𓃀 𓂝 𓃀 𓇋𓇋𓏏		region of collar-bone	Obobit	
65	bone	𓃀 𓃀 𓇋𓇋𓏏𓄹		region of throat, hollows above collar-bone		
65	bone	𓄿 𓅓 𓂝 𓅱𓏏𓂡		ramus , fork , hinged bone		
65	bone	𓄿 𓅓 𓂝 𓏏𓂝		ramus , fork , hinged bone		
65	bone	𓄿 𓅓 𓂝 𓏏𓂡		ramus , fork , hinged bone	armous : ramus !	
65	bone	𓈎 𓋴𓌟		bone	qurs ⇔ keros = horn!	
65	bone	𓊃𓐍 𓂋 𓀒 𓂝		© overthrow, throw down, force into place 	zcro: throw +++ EN GR / zerk  / throw ++ / throw / se'kuro / zucker / sickern / zer-kyr-fall-o ------	
65	bone	𓊪𓅮𓄿 𓈎 𓏏𓂂		thin part of bone in skull	^^yoch?--	
65	bone	𓊪𓐍 𓂧 𓀡		be turned over 		
65	bone	𓋴𓀒		© overthrow, throw down, force into place 		
65	bone	𓋴𓐍 𓀒		© overthrow, throw down, force into place 		
65	bone	𓋴𓐍 𓂋 𓀒		© overthrow, throw down, force into place 	scro~throw	
65	bone	𓌟 𓏤		bone		
65	bone	𓏏𓃀 𓈖𓐎		bone - marrow ?	T-bone	
66	fat	𓂝 𓆓 𓎙 𓏌𓏥		fat, grease	edge  / OT: samin : fat ⇔ semen	
66	fat	𓄡 𓊪𓈖𓃾		 fat	scron cron shon shphənt ⇔ schwarte? schwatt schvett fett? Schwanz fett? / scront cront shont	
66	fat	𓊃𓐍 𓈖𓄹		~kidney fat?		
66	fat	𓅱𓂸		////////////  mp= m/p oomph=umph=vigor ➙ fat		
66	fat	𓆓		fat as f ← -	shtair ⇔ Stier ? / stab..? / cheddar , sheddan ⇔ / shand ⇔ schmand ⇔ qvnt	
66	fat	𓆓 𓂧 𓂉		 fat	shand / scro'n / zkon / quon / quen / scro'nt / zkond / quand / quent T from elsewhere!	
66	fat	𓆓 𓂧 𓄿 𓄃		 fat		
66	fat	𓆓 𓂧 𓄿 𓐎		 fat		
66	fat	𓈎 𓈖𓄃		 fat		
66	fat	𓈎 𓈖𓄃		 fat	qun cunt kent / vs grease, graisa gorda ...	
66	fat	𓈎 𓈖𓐎		 fat		
66	fat	𓊃𓐍 𓈖𓂘 𓏌𓄹		kidney fat ?		
66	fat	𓊃𓐍 𓈖𓄹		kidney fat ?		
66	fat	𓎙 𓂧 𓊌		fat, grease	edge ⇔ rand:Ranz	
66	fat	𓎙 𓂧 𓏌𓏥		fat, grease		
66	fat	𓎙 𓂧 𓏮 𓈒 𓏥		fat, grease		
66	fat	𓎙 𓆓 𓊌 𓏥		fat, grease		
66	fat	𓎙 𓏌𓏥		fat, grease		
67	egg	𓅭 𓏏𓁒		egg - laying duck	Mast-Ente?	
67	egg	𓋴𓅱𓎛 𓏏𓆇 𓐎		egg	shuHt ~ chert/Schutz++ Schale / jaune : Sonne!	
67	egg	𓋴𓅱𓎛 𓏏𓆇		egg	 swhtei <> dang,tang?	
67	egg	𓏏𓏥		 egg	I Reptiles	
68	horn	𓂝 𓃀 𓄏 𓏤		horn	ob-horn® <> oboe ??--	
68	horn	𓂧 𓃀 𓄏		horn , wing 	Derb Horn	
68	horn	𓂧 𓃀 𓄏		horn , wing 	shabbur : horn AR ++ / dabbur : hornet +++ ←	
68	horn	𓄏 𓏤		horn 	oph=Huf	
68	horn	𓄏 𓏤		horn	khrn horn, keros / ⇔ / crean ¬clean?	
68	horn	𓈖𓎼		long horn bull  G	Neger-_	
68	horn	𓈖𓎼 𓅱		long horn bull		
68	horn	𓍿𓃹 𓇱		gore 		
68	horn	𓍿𓃹 𓈖𓂡		gore , stick 		
68	horn	𓎛 𓆰 𓈖𓄏		horn	horn++	
68	horn	𓎛 𓆰 𓈖𓄏		horn	hern horn qed	
68	horn	𓎛 𓆱 𓈖𓏌𓏏		horn D		
69	tail	𓊃𓏏𓅭		pin-tail duck	Gynte Ente	
69	tail	𓋴𓂧 𓄢		tail	stail / ~spear	
69	tail	𓎡 𓈖𓎡 𓈖𓄖		lash out 	cannon ⇔ ball ! / komm-komm-back knock	
69	tail	𓏠 𓈖𓎡 𓂋 𓄛 𓏏𓏤		bull's tail 	men.coat--	
69	tail	𓐍 𓃀 𓊃𓏏𓄢		tail	חצץ châptsats QED? ⇔ cut חצות middle vs זנב zânâb / ⇔ 'chopsed' + / الذيل dhyl~tail +-+ nice, but no help / γενειάδα knosso?	
69	tail	𓐍 𓃀 𓋴𓇋𓇋𓏏𓏥		tail		
70	feather	𓆄 𓅱𓏏𓁸		feather	++ sƒuite-hair	
70	feather	𓆄 𓏏𓏤 𓁸		feather	 sƒuite-hair	
70	feather	𓆄 𓅱𓏏𓁸		feather		
70	feather	𓆄 𓅱𓏏𓆃		feather	shuinth haar  / schönt haar /	
70	feather	𓆄 𓏏𓏤		feather	feather vs / shuther vs	
70	feather	𓆄 𓏏𓏤 𓁸		feather	shuite haar	
71	hair	𓁸		hair, grass	hair, herb +++ !! 	  Schopf
71	hair	𓁸 𓏥		hair, grass		
71	hair	𓁹 𓁸		coiffeur 	"chop-hair <?> fairs-hair meyer- / ""do hair"" / eye-d-hair"	
71	hair	𓂧 𓃀 𓈖𓏏𓁸		lock of hair	lethben-tolle?	
71	hair	𓃀 𓂓 𓁸		lock of hair	backhair black	
71	hair	𓃀 𓎡 𓎡 𓁸		hair	black-hair?	
71	hair	𓅠 𓎛 𓏏𓁸		plaited hair	fine hairth	
71	hair	𓇋𓄿 𓂋 𓏏𓁸		lock of hair		
71	hair	𓈖𓃀 𓂧 𓏏𓁸		tress 	Bund ENDE++	
71	hair	𓈖𓈙 𓇋𓇋𓁸 𓂡		dress 		
71	hair	𓋴𓐟 𓄿 𓅓 𓏏𓁸		lock of hair	 Spairamid : Spirale ++	
71	hair	𓍲 𓈖𓏌𓏲 𓁸		hair, grass	Schnüren++ DE++ / ⇔Schnitter	
71	hair	𓍲 𓈖𓏮 𓁸 𓏥		hair, grass		
71	hair	𓎛 𓆰 𓈖𓊃𓎡 𓇋𓇋𓁸 𓏏		she who has braided hair		
71	hair	𓎛 𓆰 𓈖𓊃𓎡 𓏏𓁸		braided lock 		
71	hair	𓎛 𓆰 𓈖𓋴𓎡 𓇋𓇋𓅂 𓁸 𓀭 𓏪		wearers of the side-lock 	hairens-cut schnitt]	
71	hair	𓎛 𓏏𓁸 𓂡		become entangled 	hair-t?	
71	hair	𓁹 𓁸		coiffeur 	"fairs-hair / ""do hair"" / eye-d-hair"	
71	hair	𓂝 𓃀 𓄏 𓂡		comb 		
71	hair	𓂧 𓃀 𓈖𓏏𓁸		lock of hair	lethben-tolle?	
71	hair	𓃀 𓂓 𓁸		lock of hair	backhair	
71	hair	𓃀 𓎡 𓎡 𓁸		hair	back-hair?	
71	hair	𓄋 𓊪𓏏		top knot 	knot?? ← / haupt-	
71	hair	𓅠 𓎛 𓏏𓁸		plaited hair	fine hairth	
71	hair	𓅱𓎛 𓋴𓌪 𓂡		cut off , quell , kill 	muerith = kill QED	
71	hair	𓆑 𓂧 𓏴 𓂡		pluck , pull up , uproot , pull out , remove		
71	hair	𓆓 𓂧 𓆑 𓏛		stand on end , creep 		
71	hair	𓇋𓄿 𓂋 𓏏𓁸		lock of hair		
71	hair	𓈖𓃀 𓂧 𓏏𓁸		tress 	Bund ENDE++	
71	hair	𓈖𓃹 𓈖		dishevel, be dishevelled, pull   C ?	an-ha'n / an-Haaren	
71	hair	𓈖𓄿 𓁺		tress of hair		
71	hair	𓈖𓇬 𓈖		dishevel, be dishevelled, pull 		
71	hair	𓈖𓈙 𓇋𓇋𓁸 𓂡		dress 		
71	hair	𓈖𓐍 𓆼 𓄿 𓐍 𓆼 𓄿 𓐍 𓂻		ruffle 		
71	hair	𓊪𓈖𓋴𓏴 𓂡		cut off , pull out 	pouncen ?	
71	hair	𓊪𓊃𓐍 𓂻		disarray 	whoo-zuckern -- / puder-zucker	
71	hair	𓋴𓐟 𓄿 𓅓 𓏏𓁸		lock of hair	~Spirale.mos ++ ϫⲓϭⲱⲓ	
71	hair	𓍲 𓈖𓏌𓏲 𓁸		hair, grass	Schnüren++ DE++ / ⇔Schnitter	
71	hair	𓍲 𓈖𓏮 𓁸 𓏥		hair, grass		
71	hair	𓎛 𓆰 𓈖𓊃𓎡 𓅂 𓏥		wearers of the side-lock 		
71	hair	𓎛 𓆰 𓈖𓊃𓎡 𓅂 𓏥		wearers of the side-lock 	haaren zuckugfang	
71	hair	𓎛 𓆰 𓈖𓊃𓎡 𓇋𓇋𓁸 𓏏		she who has braided hair		
71	hair	𓎛 𓆰 𓈖𓊃𓎡 𓏏		braided lock 		
71	hair	𓎛 𓆰 𓈖𓊃𓎡 𓏏𓁸		braided lock 		
71	hair	𓎛 𓆰 𓈖𓋴𓎡 𓇋𓇋𓅂 𓁸 𓀭 𓏪		wearers of the side-lock 	hairens-cut schnitt]	
71	hair	𓎛 𓏏𓁸 𓂡		become entangled 	hair-t?	
71	hair	𓏏𓐍 𓏏𓐍		disorder , crumple   }		
71	hair	𓏏𓐍 𓏏𓐍 𓂻		disorder 	?tekt⇔tektonik / Deck?	
71	hair	𓐍 𓋴𓃀 𓂧 𓈒 𓏥		blue, blue-black 		
71	hair	𓐍 𓋴𓃀 𓆓 𓂂		blue, blue-black 		
72	head	𓁶 𓊪		head, headman, chief, tip , example , the best of	first-who / Pharwoo = Pharao? / princeph  / PhRph	
72	head	𓁶 𓏤		head, tip 	fore-head®	
72	head	𓁶 𓏤		head, headman, chief, tip , example , the best of	head	
72	head	𓁷 𓂋 𓇯 𓀀		head man	Oberherr / afasir: officer++ @ Kurd	
72	head	𓁷 𓂋 𓏮 𓇯 𓄋 𓏏𓏤		summit of head	Ober-haupt!!	
72	head	𓁷 𓂋 𓏮 𓇯 𓄋 𓏏𓏤		summit of head	Ober-haupt!!	
72	head	𓂝 𓆑 𓈖𓏏		royal head-cloth		
72	head	𓂝 𓆑 𓈖𓏏𓋳		royal head - cloth		
72	head	𓂝 𓆑 𓈖𓏏𓏯		royal head - cloth	^^^^^ / Tuch / 'O' sinen Tuch	
72	head	𓃀 𓅡 𓃀 𓅡 𓅱𓉐		apertures of head	??	
72	head	𓃀 𓅡 𓃀 𓅡 𓅱𓏛		hole 		
72	head	𓃀 𓍑 𓄿 𓍢 𓏥 𓆱		mast-head		
72	head	𓄋 𓏏𓏤		horns, top, brow, top-knot, head-dress, zenith	Haupt! + / houa'jeb حواجب = brow / horn = kerã = qurun قرون / haupt = haudz أوج	
72	head	𓄿		back of the head	hair / haar ⇔ Häher, Hor!	
72	head	𓅓 𓂝		back of the head	µHaar	
72	head	𓅓 𓇉 𓄿		back of the head	µhair ! / forehier -	
72	head	𓅓 𓋴𓐍 𓂧 𓀡		head downwards		
72	head	𓅨 𓂋 𓋴𓆱		head - rest	shwers / Wax --	
72	head	𓅨 𓂋 𓋴𓆱		head - rest		
72	head	𓅱𓆓 𓂝 𓐣		cut off 		
72	head	𓅱𓆓 𓂝 𓐣 𓀜		cut off ,	-chop / ⇔ matsch Machete?	
72	head	𓅱𓆓 𓂝 𓐣 𓏜		cut , cut off , be parted , cut out 		
72	head	𓅱𓉔 𓈖𓈖𓁶		crown 	cuoun ➙ crown -- ++??	
72	head	𓈎 𓃀 𓄿 𓏏𓄏 𓏤		crown 	coupet / kophead	
72	head	𓈙 𓆑 𓈙 𓆑 𓏏𓄅		ram's head		
72	head	𓉔 𓂧 𓀁		bregma 	HEAD++	
72	head	𓋴𓅁		head of family	Schahman +?+	
72	head	𓌨 𓂋		 at , through , subject 		
72	head	𓌨 𓂋		 at , through , subject 		
72	head	𓌨 𓂋 𓁶 𓏤		under the head of, beside		
72	head	𓌰 𓅓 𓋴		the  Nemes head cloth  C		
72	head	𓌰 𓋴𓋳		clothe with the head cloth	ikes إكس !?! AR++ ← ink ! / mins ?	
72	head	𓌴 𓐙 𓂝 𓆀		temple 	stirn	
72	head	𓌷 𓂝 𓏯 𓄻		temple 		
72	head	𓍑 𓄿 𓍑 𓄿 𓁶 𓏤		head, tip 	Pfeil? / ƒNitzel	
72	head	𓍑 𓍑 𓁶		head, tip 	Pfeil-Top	
72	head	𓍿𓍯 𓏜		 lean , support, sustain, hold up, set 	krohn / cyrho ⇔ cheiro=hand ⇔ hold / χειρ.ός	
72	head	𓎛 𓃀 𓋴𓋳 𓁶 𓏤		cover the head		
72	head	𓎛 𓋴𓈎 𓌪		cut off , cut out , behead		
72	head	𓎝 𓎛 𓏛		bow the head  D	be kindly, patient, clemency,	
72	head	𓎼 𓌳 𓄿 𓄹		temple 		
72	head	𓏃		who is at the head of, foremost		
72	head	𓏃		who is at the head of, foremost	outstanding	
72	head	𓏅 𓈖𓏏		who / which is in front of, southern, south of, who is at the head of		
72	head	𓏅 𓈖𓏏𓏮		who / which is in front of, southern, south of, who is at the head of		
72	head	𓏏𓍯 𓄿 𓀘		hold up, set 	thronair ➙ thronen	
72	head	𓐍 𓈖𓏏		ƒ who is at the head of, foremost		
72	head	𓐍𓊪𓈙𓄗		PIE cephal  Gipfel Gebail caputh ceps ^^	⇔ chazaq	
73	ear	𓄔 𓏤		ear		
73	ear	𓄟 𓋴𓇥 𓂋 𓄔		ear	Nez Ohr << !--	
73	ear	𓅱𓈙 𓄿		ear of corn		
73	ear	𓅱𓈙 𓅓 𓌟		ear of corn	Muschel? / ⇔ Maische ?	
73	ear	𓆓		Ähre 		
73	ear	𓇉 𓄿 𓁶		occiput, back , behind, around	achter ƒ / hierher! paraƒ <<<	
74	eye	𓀔 𓈋 𓅐 𓏏𓏥 𓈒		black eye paint	shieam' = khem / ~Schminke , Schmutz, Maskara 𓅐𓏏𓏥	
74	eye	𓁹 𓏏𓏤		eye	 eyers / *mvoirs m'äugt 	
74	eye	𓁼		black eye paint	maska-ra ®	
74	eye	𓂀		the uninjured eye of Horus	Horseye	
74	eye	𓂝 𓈖𓁹		eye		
74	eye	𓃀 𓅡 𓃀 𓅡 𓅱𓏛		hole 		
74	eye	𓃀 𓏲 𓈖 𓏥 𓂋 𓁻 𓏥		globe of the eye  ?	blauen auge? / bunter _ ?	
74	eye	𓄟 𓆓 𓅐 𓏏𓏥 𓈒		black eye paint		
74	eye	𓄟 𓋴𓂧 𓅐 𓏏𓈓		black eye - paint	Masmuter / Museldemuter	
74	eye	𓅓 𓋒		black eye paint		
74	eye	𓅜 𓐍 𓏏𓁻		eye 	Achteye / 1 Acht Auge ++ / 2 Achter  ... weg. 1 / 3 Macht	
74	eye	𓅜 𓐍 𓏏𓁻		eye 	Achteye / 1 Acht Auge ++ / 2 Achter  ... weg. 1 / 3 Macht / Maygt / Die Macht /	
74	eye	𓅱𓍑 𓄿 𓏏𓂀		the uninjured eye of Horus	umva-saert unversehrt +++ DE	
74	eye	𓆓 𓆑 𓂧 𓂂		pupil 		
74	eye	𓆓 𓆑 𓆓 𓂂		pupil 	schön?	
74	eye	𓇅		green eye - paint	green	
74	eye	𓇋𓄿 𓂋 𓂋 𓁹 𓅪		be dim , be weak     -vål		
74	eye	𓇋𓏏𓎛 𓍕		pull out 	yther -- ⇔ drag	
74	eye	𓈐 𓈋 𓏲 𓈒 𓏥		green eye - paint	pastell ++ / faience ƒ	
74	eye	𓊹 𓏏𓂋 𓏏𓂀		divine eye		
74	eye	𓋴𓄫 𓅱𓏮 𓁺		keep an eye on		
74	eye	𓋹 𓂀		eye 		
74	eye	𓋹 𓈖𓐍 𓏏𓂀		eye 		
74	eye	𓌈 𓂂		white 		
74	eye	𓌌 𓏏𓇶		white 	weiß	
74	eye	𓍯 𓄿 𓃀 𓆰		root , socket 	roopt ⇔ rupf root	
74	eye	𓍯 𓆓 𓇅 𓅱𓁼 𓈓		green eye - paint	rouge green! / rouge colour? / gro-scheenertra?	
74	eye	𓍯 𓆓 𓈋 𓁼 𓈓		green eye - paint		
74	eye	𓍲 𓈖𓍢 𓂂		cover 	schonen	
74	eye	𓎔 𓏏𓏝 𓂂		the complete eye 	Na't / Flat?	
74	eye	𓎛 𓇬 𓈖		pupil   X	← pupil ⇔ Schüler ⇔ Hasen	
74	eye	𓏏𓐍 𓈖𓁺		injury , injure , pierce 		
75	nose	𓂉 𓏤		nose	nez / bug / lüg:loch	
75	nose	𓆑 𓈖𓂧 𓂉		nose		
75	nose	𓆑 𓈖𓆓 𓐩 𓂉		nose		
75	nose	𓆑 𓈖𓆓 𓐩 𓂉		nose	snozen snizen +-+ ←	
75	nose	𓈖𓆑		blow 	Niesen ++++ DE	
75	nose	𓈙 𓂋 𓏏𓂉		nose, nostril		
75	nose	𓈙 𓂋 𓏏𓂉 𓄹		nose, nostril	shnout vs / schrt --	
76	mouth	𓂋 𓄂 𓏏𓏤 𓈘		river mouth	ripharth / rivers*	
76	mouth	𓂋 𓏤		mouth, opening, utterance, speech, language, intent	'ài® = air ⇔  ⇔ EA GOD! EIAOU YHWH / faima الفمّ FR+AR ⇔ famine / a mouth / 100% speculative --	
76	mouth	𓂋 𓏤 𓄂 𓏏𓏤 𓈗		river mouth		
76	mouth	𓂋 𓏤 𓄂 𓏏𓏤 𓈘		river mouth		
76	mouth	𓂋 𓏤 𓄂 𓏏𓏥 𓈗 𓈘		 river mouth		
76	mouth	𓂐 𓏏𓏰 𓏰		 lip ,	purty	
76	mouth	𓂐 𓏏𓏰 𓏰		 lip ,	spit tel	
76	mouth	𓄲𓂋𓅨𓈘  𓈘   𓂋𓏤𓄂𓏏𓏥𓈗𓈘		oUver. ←?> 'river mouth'		
76	mouth	𓅓 𓂝 𓆓 𓂧 𓐦 𓂡		press hard on, hit, strike 	marsch? / forsch zuhaun	
76	mouth	𓅓 𓆓 𓏏𓆑 𓏏𓍊		chisel 		
76	mouth	𓅨 𓂋 𓎛 𓂓 𓏥 𓍇		instrument for 'Opening of the mouth'	Verheka-aze	
76	mouth	𓇉 𓄿 𓊪𓂧		open 	 𓇉 𓄿  𓊪𓂧=feed <> Napf? <> cover?	
76	mouth	𓇼 𓅨 𓍇		adze 		
76	mouth	𓈖𓍉 𓃢		adze of Wepwawet 	nAdze! / Netz?	
76	mouth	𓈖𓍯 𓃧		adze of Wepwawet 	'n*ro ??? : / nor ⇔ NAUR!?!	
76	mouth	𓊪𓋴𓈙		ritual instument 		
76	mouth	𓊪𓎼 𓂘 𓈅		mouth 	~pthach / opG ~ open ++	
76	mouth	𓊪𓎼 𓄿 𓂘		entrance , mouth , arena, battlefield	apo.guerre -- ← / Epoche / opiker- / תח pêthacha - / ←	
76	mouth	𓊹 𓊹 𓏏𓂋 𓏏𓏮 𓍇		adze 		
76	mouth	𓋴𓊪𓏏𓂏		lip ,	shphat الشفة AR ++ / spot ~ spit , spitz , spitze! ... / schwatzen !! / cluster not dominated by AR, but full hit / ←	
76	mouth	𓋴𓊪𓏏𓂏		lip ,	spit™ / ⇔ split slit! speien / GOTH : Gosche=Mund ! / sot spot gloth gloss Gosche Gasche gashing wound ⇔ dash / ⇔ gossip vs godsibb ‎ / ←ƒ?> gash : garser, jarsier charaxāre charássein  ⇔ caress ⇔ care / cārus ‎, from Proto-Indo-European *kāro- , akin to Sanskrit काम ‎ ⇔ karma charm / harlot=Hure	
