746	BE ILL	цомгуш хила	čomɡu͡ʊʃ xɪlə		аҳəарҧсарра	ɑħəɑrpʰsɑrrɑ		ავადმყოფობს	ɑvɑd mqˀɔpʰ ɔbs		հիվանդ լինել	hivɑntʰ linɛl		
747	ACHE	лаза	ləzə		ахьра	ɑχʲrɑ	acher	სტკივა	stˀkˀivɑ		ցավել	čʰɑvɛl		
748	COUGH	йовхарш етта	ɪ̆ɔ͡ʊxərʃ etːə		аимҳәара	ɑimħʲʷørɑ		ახველებს	ɑxvɛl ɛbs		հազալ	hɑzɑl		
749	RECOVER	тадала	tə dələ		абзиахара	ɑb ziɑχ ɑrɑ		მორჩება	mɔrç ɛbɑ	¬mort	ապաքինվել	ɑpɑkʰinvɛl		
750	DIE	дала	 dələ	die < teil < tuer	аҧсра	ɑpʰ srɑ		კვდება	kˀvd ɛbɑ	√cut, kurd	մեռնել	mɛrnɛl		
751	PERISH (OF HUMAN)	хӏаллакхила	həlːəqɪlə		аҭахара	ɑtʰɑχ ɑrɑ		დაიღუპება	dɑ iɣupˀ ɛbɑ		կործանվել	kɔɾčɑnvɛl		
752	MOVE (OF PERSON)	лела	lēlə	лeла:GO	аиҭаҵра	áitʰɑč  ʼrɑ		იძვრის	id͡zvris		ընթանալ	əntʰɑnɑl		
753	BUDGE	меттахъхьен	metːəxʔʜen		ақəацара	ɑkʰəɑč ʰ ɑrɑ		გაინძრევა	ɡɑ ind͡zr ɛvɑ		շարժվել	ʃɑɾʒvɛl		
754	STAND UP	хьалагlатта	ʜələɡlətːə		аҩагылара	ɑɥɑɡɨl ɑrɑ		ადგება	ɑdɡ ɛbɑ		կանգնել	kɑŋkʰnɛl		
755	SIT DOWN	хаа	xəə		атəара	ɑtʼə ɑrɑ		დაჯდება	dɑ d͡ʒd ɛbɑ	to sit (be) <> tischt	նստել	nəstɛl		
756	TUMBLE	дожа	doʒə		акаҳара	ɑkʼɑħ ɑrɑ		დაეცემა	dɑ ɛčʰ ɛmɑ		ընկնել	əŋknɛl		
757	WALK	вада	vədə	waten	аныҟəара	ɑnɨqʼə ɑrɑ		დადის	dɑ dis	tret™!! @Sumer/Elam!? <<<	քայլել	kʰɑjlɛl		
758	STEP (VERB)	болар дан	bolər dən		ашьаҿа еихгара	ɑʃɑʈʈ͡ʂʼɑ ɛiχɡ ɑrɑ		აბიჯებს	ɑb id͡ʒ ɛbs	up dis^^	ճեմել	çɛmɛl		
759	TAKE A WALK	доладала	dolə dələ	dödeln	анеи-ааира	ɑnɛiɑɑirɑ		დასეირნობს	dɑ sɛirn ɔbs		շրջագայել	ʃəɾçʰɑkʰɑjɛl		
760	MOVE IN HASTE	сихдала	sɪx dələ		аццакра	ɑč ʰčʰɑk ʼrɑ		მიიჩქარის	miiçkʰɑris		շտապել	əʃtɑpɛl		
761	HURRY UP	сихдала	sɪx dələ		аццакра	ɑč ʰčʰɑk ʼrɑ		აჩქარდება	ɑçkʰɑrd ɛbɑ		շտապել 	əʃtɑpɛl 		
762	DASH (OF VEHICLE)				аҧырра	ɑpʰ ɨrrɑ		მიქრის	mikʰris		սլանալ	səlɑnɑl		
763	RUN	дада	dədə	trete	аҩра	ɑɥrɑ	ire	დარბის	dɑrbis	drome de.urbis (in circles)	վազել	vɑzɛl		
764	JUMP	ирхкхийсадала	ɪrxqɪɪ̆sə dələ		аҧара	ɑpʰ  ɑrɑ	up ire	ხტის	xtˀis	ject.us	ցատկել	čʰɑtkɛl		
765	CLIMB	тӏедийла	tʼedɪɪ̆lə		ақəлара	ɑkʰəlɑrɑ	a climra	ძვრება	d͡zvr ɛbɑ	trèo चढ़ना caṛh.nā σκαρφαλώνω skar.falóno	մագլցել	mɑɡlčʰɛl		
766	SEESAW (ACTION)	техко	texko		аҟəараҟəанҽара	ɑqʼə ɑrɑqʼəɑnʈ͡ʂʰ ɑrɑ		ქანაობს	kʰɑnɑ ɔbs		ճոճվել	çɔçvɛl		
767	CRAWL	такха	təqə		аҳəазара	ɑħəɑz ɑrɑ		დაბობღავს	dɑ bɔbɣ ɑvs	de.baby(vas)	սողալ	sɔʁɑl		
768	SWIM	некадан	nekə dən	nager 𓈖𓋞𓃀𓈗	аӡсара	ɑ d͡zsɑrɑ	>>	ცურავს	čʰur ɑvs	shower तैरना tair.nā	լողալ	lɔʁɑl		
769	DIVE	чулелха	çu͡ʊlelxə		ахəӡааҵəира	ɑχəd͡zɑɑč ʼəirɑ		ჩაიძირება	çɑid͡zir ɛbɑ		սուզվել	suzvɛl		
770	ROW	дига лело	dɪɡə lēlō	<> лeла	аҵшьра	ɑč ʼʃrɑ	throw>row	ნიჩაბს უსვამს	niçɑb susvɑms		թիավարել	tʰiɑvɑɾɛl		
771	DRIVE	хахка	xəxkə		акала	ɑkʼɑlɑ	course	დადის	dɑ dis	da dis… √tret go down	ընթանալ	əntʰɑnɑl		
772	FLY (MOVE THROUGH AIR)	тӏемадала	tʼemə dələ		аҧырра	ɑpʰ ɨrrɑ	up.ira a'fly 	იფრენს	ipʰrɛns	ipʰrɛ <> feather	թռչել	tʰəɾçʰɛl		
773	GO	лeла	lelə	laila ;(  leleg,walk	аиҭаҵра	áitʰɑč  ʼrɑ		მიდის	mi dis	mi dis…	գնալ	ɡənal		
774	LEAVE	дӏадаха	dʡədəxə		ацара	ɑč ʰ ɑrɑ		წამოდის	čˀɑmɔ  dis		հեռանալ	hɛrɑnɑl		
775	DEPART	дӏадаха	dʡədəxə		адəықəлара	ɑdəɨkʰəl ɑrɑ		მიემგზავრება	miɛm ɡzɑvr ɛbɑ		ճանապարհվել	çɑnɑpɑɾhvɛl		
776	STOP (OF MOVEMENT)	саца	səčə		ааныргылара	ɑːnɨrɡɨl ɑrɑ		ჩერდება	çɛrd ɛbɑ		կանգնել	kɑŋkʰnɛl		
777	GO INSIDE	чудала	çu͡ʊ dələ		аҭалара	ɑtʰɑl ɑrɑ		შედის	ʃɛ  dis	sides sy.dis	մտնել	mətnɛl		
778	ENTER	чудала	çu͡ʊ də̄lə		аҩналара	ɑɥnɑl ɑrɑ		შედის	ʃɛ  dis	sy.dis	մտնել	mətnɛl		
779	COME	кхача	qəçə	qomts	аара	ɑːrɑ	ire	მოდის	mɔ dis	come.dis	գալ	ɡɑl		
780	ARRIVE	кхача	qəçə		ааира	ɑːirɑ	ir. ɛbɑ, arriba	ჩადის	çɑ.dis	to.dis	ժամանել	ʒɑmɑnɛl		
781	COME BACK	юхада	juxədə̄	juxta (join)	азыхынҳəра	ɑzɨχɨnħ ərɑ		დაბრუნდება	dɑ brund ɛbɑ	√round?	վերադառնալ	vɛɾɑtʰɑrnɑl		
782	REMAIN	диса	dɪsə	dures	аанхара	ɑːnχ ɑrɑ		დარჩება	dɑ rç ɛbɑ	durats	մնալ	mənɑl		
783	WAIT (FOR)	хьежа	ʜēʒə		азҧшзаара	ɑzpʰʂzɑːrɑ		ელოდება	ɛlɔd ɛbɑ		սպասել	əspɑsɛl		
784	AWAIT	хьоьжуш ӏан	ʜø̄ʒu͡ʊʃ ʡən	ʜēʒə	азҧшра	ɑzpʰʂrɑ		ელის	ɛlis	<>halt?	սպասել	əspɑsɛl		
785	LOOK FOR	леха	lēxə	looks	ашьҭазаара	ɑʃtʰɑzɑːrɑ		ეძებს	ɛd͡z ɛbs		որոնել	ʋɔɾɔnɛl		
786	FIND	каро	kəro	cherche	аҧшаара	ɑpʰ ʂɑːrɑ		მიაგნებს	miɑɡn ɛbs	𓅓𓅠	գտնել	ɡətnɛl		
787	TRY	дан хьажа	 dən ʜəʒə		аҽазкра	ɑʈ͡ʂʰɑzk ʼrɑ		ცდის	čʰ dis	try this;)	փորձել	pʰɔɾčʰɛl		
788	PREPARE	кечъян	keçʔjən		армазеира	ɑrmɑzɛirɑ		მოამზადებს	mɔɑmzɑd ɛbs		պատրաստել	pɑtɾɑstɛl		
789	LOVE	деза	dēzə		абзиабара	ɑb ziɑb  ɑrɑ		უყვარს	uqˀvɑrs		սիրել	siɾɛl		
790	LIKE	безамхила	bezəmxɪlə		агəаҧхара	ɑɡəɑpʰ χ ɑrɑ		ეტრფის	ɛtˀrpʰis	erotphil --	հավանել	hɑvɑnɛl		
791	LAUGH	дела	delə		аччара	ɑçç ɑrɑ		იცინის	ičʰinis	spitzens	ծիծաղել	čičɑʁɛl		
792	MOVE EMOTIONALLY	хьедан	ʜe dən		арҵəуара	ɑrčʼəu ɑrɑ		გულს აუჩუყებს	ɡuls ɑuçuqˀ ɛbs		հուզել	huzɛl		
793	CRY	делха	delxə		аҵəуара	ɑč ʼəu ɑrɑ		ტირის	tˀiris	tear,  t'iris	լալ	lɑl		
794	GRUMBLE	чехо	çexo		ацəҳара	ɑč ʰəħ ɑrɑ		შეიგინება	ʃɛ iɡin ɛbɑ	se.eigen?	տրտնջալ	tɾtɲd͡ʒɑl		
795	BE ANNOYED	оьгӏазъэха	øɣəzʔexə		агəаара	ɑɡəɑ ɑrɑ		გაბრაზობს	ɡɑ brɑz ɔbs		զայրանալ	zɑjɾɑnɑl		
796	BE AFRAID	кхера	qērə	𓋴 𓂋 𓅾	аӡыӡара	ɑd͡zɨd͡z ɑrɑ		შიშობს	ʃiʃ ɔbs	sheesh < geese 𓋴𓂋 𓅾 <> sissi-bar	վախնալ	vɑχnɑl		
797	FEAR (BE AFRAID)	кхера	qērə	𓋴 𓂋 𓅾	ацəшəара	ɑč ʰəʂə ɑrɑ		ფრთხილობს	pʰrtʰxil ɔbs	𓅾 <> bird,feather…	վախենալ	vɑχɛnɑl		
798	FLEE	дӏадада	dʡədədə		абналара	ábnɑl ɑrɑ	áb null?	გაიქცევა	ɡɑ ikʰčʰ ɛvɑ	ge.exit 𓏴𓈐! ichteo  vs ex-cappa	փախչել	pʰɑχçʰɛl		
799	ESCAPE	дӏадада	dʡədədə	<> dede=walk	абналара	ábnɑl ɑrɑ		გაიქცევა	ɡɑ ikʰčʰ ɛvɑ	ge.exit 𓏴𓈐! ichteo  ex-cappa	փախչել	pʰɑχçʰɛl		
800	SEE	ган	ɡən	sehn	абара	ɑb ɑrɑ	a voire <> s'pectre	ხედავს	xɛdɑ vs	sehtda	տեսնել	tɛsnɛl		
801	LOOK	хьажа	ʜəʒə	hwasee	ахəаҧшра	ɑχəɑpʰ ʂrɑ		ნახავს	nɑx ɑvs	nadjar	դիտել	ditɛl		
802	WATCH	хьовса	ʜɔ͡ʊsə	hwatch	ахəаҧшра	ɑχəɑpʰ ʂrɑ		უყურებს	uqˀur ɛbs	occure	նայել	nɑjɛl		
803	HEAR	хаза	xəzə		аҳара	ɑħ ɑrɑ	a hear	ისმენს	ismɛns	sense 𓋴 𓅓 𓄔  𒄿𒊺𒈪 i-še-mi !	լսել	ləsɛl		
804	LISTEN	ладогӏа	lədoɣə	lisdo	азыӡырҩра	ɑzɨd͡zɨrɥrɑ		მოისმენს	mɔismɛns	ma.ismens  𓅓𓋴𓄔	ունկնդրել	uŋkntʰɾɛl		
805	TASTE (SOMETHING)	хьажа	ʜəʒə		аҧышəара	ɑpʰ ɨʂə ɑrɑ		გასინჯავს	ɡɑ sind͡ʒ ɑvs	ge.sindj?	համը տեսել	hɑmə tɛsɛl		
806	SMELL (PERCEIVE)	хьожа яха	ʜoʒə jə̄xə		афыҩра	ɑfɨɥrɑ		ყნოსავს	qˀnɔs ɑvs	ge.nose  𓋴𓈖𓂉𓀁	հոտ առնել	hɔt ɑrnɛl		
807	FEEL (TACTUALLY)	хаадала	xəə dələ		анырра	ɑnɨrrɑ		გრძნობს	ɡrd͡zn ɔbs		զգալ	əzɡɑl		
808	SEEM	мотта	motːə	miti:seemilar	шәа	ʃʲʷø	see.ma	ეჩვენება	ɛçvɛn ɛbɑ		երեւալ	jɛɾɛvɑl		
809	VISIBLE	гуш хила	ɡu͡ʊʃ xɪlə					მოჩანს	mɔçɑns	ma.ßean	երեւալ	jɛɾɛvɑl		
810	HEAR (INFORMATION)	бартхатта	bərtxətːə		аҳара	ɑħ ɑrɑ	a hear	გაიგებს	ɡɑ iɡ ɛbs	ge.ige	իմանալ 	imɑnɑl 		
811	SHIVER	гӏоро	ɣoro		ашəра	ɑʂ ərɑ	a' ʂvrɑ	იყინება	iqˀin ɛbɑ		մրսել	məɾsɛl		
812	DO	дан	 dən	tun! done	аҟаҵара	ɑqʼɑč ʼ ɑrɑ	<>	აკეთებს	ɑkˀɛtʰ ɛbs	< akurat 𓂓 > ackern	անել	ɑnɛl		
813	BE ABLE	дадала	də dələ		алшара	ɑlʂ ɑrɑ		შეიძლება	ʃɛ id͡zl ɛbɑ	<<	կարողանալ	kaɾoɣanal		
814	WANT	тӏергӏа	tʼerɣə	trachte tahtoa darb أَرَادَ‎ (ʾarāda)	аҭахра	ɑtʰɑχrɑ		უნდა	undɑ 	wanta	ուզել	uzɛl		
815	BEGIN	доло	dōlo		алагара	ɑlɑɡ ɑrɑ		დაიწყებს	dɑ ičˀqˀ ɛbs		սկսել	əskəsɛl		
816	FINISH	довла	dɔ͡ʊlə		алгара	ɑlɡ ɑrɑ	<>algorithm?	ამთავრებს	ɑmtʰɑvr ɛbs		վերջացնել	vɛɾçʰɑčʰnɛl		
817	STOP (OF ACTIVITY)	саца	səčə	√seat, sedate	аҟəыҵра	ɑqʼəɨč ʼrɑ		შეწყვეტს	ʃɛčˀqˀvɛtˀs	√seat, sedate	դադարել	dɑtʰɑɾɛl		
818	SUCCEED	кадала	kə dələ		аура	ɑurɑ	hurah!	მოახერხებს	mɔɑxɛrx ɛbs		հաջողվել	hɑçʰɔʁvɛl		
819	RESULT IN	хила	xɪlə		нзаарын	nzɑːrɨn		გამოდის	ɡɑ mɔdis	<> modus matter	ստացվել	əstɑčʰvɛl		
820	OPEN	дӏаделла	dʡədelːə		аартра	ɑːrt ʼrɑ		გახსნის	ɡɑ xsnis		բաց անել	bɑčʰ ɑnɛl		
821	SHUT	къовла	qʼɔ͡ʊlə		аркра	ɑrk ʼrɑ	<> arc	ხურავს	xur ɑvs	√cure : secure বন্ধ করা bôndh kôra סָגַר‎ sagár 𐎒𐎂𐎗 sera 	փակել 	pʰɑkɛl 		
822	PUT	хlотто	xlotːo		аргылара	ɑrɡɨl ɑrɑ		დადგამს	dɑ dɡɑ ms		դնել	dənɛl		
823	CAUSE TO SIT	дийгӏа	diːɣə		артəара	ɑrtʼə ɑrɑ		დასვამს	dɑ svɑms	sofa √se(t)	նստեցնել	nəstɛčʰnɛl		
824	LAY (VERB)	охьадилла	oʜədɪlːə		ақəҵара	ɑkʰəčʼ ɑrɑ		დადებს	dɑd ɛbs	<> dead	դնել	dənɛl		
825	TOUCH	хьедан	ʜe dən		акьысра	ɑkʼʲisrɑ		შეახებს	ʃɛ ɑx ɛbs	𓇉𓄿𓎼𓂻 touch ʃɛɑx	դիպչել	dipçʰɛl		
826	CONNECT	вовшахтаса	vɔ͡ʊʃəxtəsə		аҿаҳəара	ɑʈʈ͡ʂʼɑħə ɑrɑ		შეაერთებს	ʃɛ ɑɛrtʰ ɛbs	cert<>syrt	շաղկապել	ʃɑʁkɑpɛl		
827	COVER	тилла	tɪlːə		ақəршəра	ɑkʰərʂ ərɑ		გადააფარებს	ɡɑ dɑ ɑpʰ ɑr ɛbs	;)	ծածկել	čɑčkɛl		
828	HANG UP	хьалаолла	ʜələolːə		акнаҳара	ɑkʼnɑħ ɑrɑ		დაკიდებს	dɑ kˀid ɛbs	вісе́ць ᎦᏔ gata   კიდება ḳideba < 걸리다 geollida వేలాడు  ᴳvēlāḍu	կախել	kaxɛl		
829	LIGHT (IGNITE)	лато	lətō	lighto	аркра	ɑrk ʼrɑ	<> spark	დაანთებს	dɑ ɑntʰ ɛbs	ante<>igni ??	վառել	vɑrɛl		
830	PICK UP	айа	əɪ̆ə		ашьҭыхра	ɑʃtʰɨχrɑ		აიღებს	ɑiɣ ɛbs	ergreifs	վերցնել	vɛɾčʰnɛl		
831	LEAVE (SOMETHING)	дита	dɪtə	tret ^^ walk	аныжьра	ɑnɨʒrɑ		დატოვებს	dɑ tˀɔv ɛbs	de.tov?. ɛbs	թողնել	tʰɔʁnɛl		
832	LOSE (SOMETHING)	дайа	dəjə		ацəыӡра	ɑč ʰəɨd͡zrɑ	edge dəjə	დაკარგავს	dɑ kˀɑrɡɑ vs	de¬karg.avs	կորցնել	koɾčʰnɛl		
833	DROP (SOMETHING)	охьадожо	oʜədoʒo		ацəкаҳара	ɑč ʰəkʼɑħ ɑrɑ		გაუვარდება	ɡɑ uvɑrd ɛbɑ	ge.worfd. ɛbs	գցել	ɡəčʰɛl		
834	MAKE	дан	 dən		ачаҧара	ɑçɑpʰ  ɑrɑ		გააკეთებს	ɡɑ ɑkˀɛtʰ ɛbs	ge.action. ɛbs  ma.act => make(st)	անել	ɑnɛl		
835	PRODUCE	дан	 dən		аиҵдара	áičʼd ɑrɑ	etze@bible	დაამზადებს	dɑ ɑmzɑd ɛbs	<> make?	արտադրել	ɑɾtɑdɾɛl		
836	BUILD	гӏишлоян	ɣɪʃlojən		аргылара	ɑrɡɨl ɑrɑ		ააშენებს	ɑɑʃɛ n ɛbs	usher?	կառուցել	kɑručʰɛl		
837	REPAIR	тадан	tə dən		арҽеира	ɑrʈ͡ʂʰɛirɑ	arts	შეაკეთებს	ʃɛ ɑkˀɛtʰ ɛbs	se.actio  ('do')	նորոգել	nɔɾɔkʰɛl		
838	IMPROVE (SOMETHING)	нисдан	nɪs dən		аиҕьтəра	áiʁʲtʼ ərɑ		გამოაკეთებს	ɡɑ mɔɑkˀɛtʰɛbs	ge.make.tops makha=better	բարելավել	bɑɾɛlɑvɛl		
839	CHANGE	хийца	xiːčə		аҧсахра	ɑpʰ sɑχrɑ		შეცვლის	ʃɛ čʰvlis		փոխել	pʰɔχɛl		
840	DIG	ахка	əxkə		ажра	ɑʐrɑ		თხრის	tʰxris	tʰo. xris	փորել	pʰɔɾɛl		
841	BEND	сатто	sətːo		арҟəра	ɑrqʼ ərɑ		ხრის	xris	cris, krüms	ծռել	čərɛl		
842	BEND (SOMETHING)	сатто	sətːo		арҟəра	ɑrqʼ ərɑ		გაღუნავს	ɡɑ ɣun ɑvs	gewen.do	թեքել	tʰɛkʰɛl		
843	TURN (SOMETHING)	хьовзо	ʜɔ͡ʊzo		аргьежьра	ɑrɡʲɛʒrɑ		ატრიალებს	ɑtˀriɑl ɛbs	a'turnl	ոլորել	ʋɔlɔɾɛl		
844	FLIP	turn over						მოაბრუნებს	mɔɑb run ɛbs		պտտել	pəttɛl		
845	TURN AROUND (SOMETHING)	хьовзo	ʜɔ͡ʊzo		аарҳәра	ɑːrħʲʷrɑ		შეატრიალებს	ʃɛ ɑtˀriɑl ɛbs	se'trial √turn	շրջել	ʃəɾçʰɛl		
846	RAISE	айа	əɪ̆ə		аҩахара	ɑɥɑχ ɑrɑ		ასწევს	ɑsčˀ ɛvs	stasis	բարձրացնել	bɑɾčʰɾɑčʰnɛl		
847	LIFT	хьалаайа	ʜələəɪ̆ə		ахагалара	ɑχɑɡɑl ɑrɑ		აიყვანს	ɑiqˀvɑns		բարձրացնել	bɑɾčʰɾɑčʰnɛl		
848	GRASP	дӏалаца	dʡələčə					სტაცებს	stˀɑč ʰ ɛbs	statis	վարակվել	vɑɾɑkvɛl		
849	HOLD	латто	lətːō		акра	ɑk ʼrɑ		უჭირავს	uçˀir ɑvs	fetcher	բռնել	bərnɛl		
850	PRESS	тӏетаӏо	tʼetəʡo		ақəрӷəӷəара	ɑkʰərʁəʁə ɑrɑ		დააწვება	dɑ ɑč ˀv ɛbɑ		ճնշել	çənʃɛl		
851	PUSH	татта	tətːə		аҵгəара	ɑč ʼɡə ɑrɑ		მისწევს	misčˀ ɛvs	mist => send?	հրել	həɾɛl		
852	SCRAPE	мӏараш тийса	mʡərəʃ tɪɪ̆sə		ацəҟьара	ɑč ʰəqʼʲerɑ		მოფხანს	mɔpʰxɑns	mop	քերել	kʰɛɾɛl		
853	LICK	мотт хьекха	motː ʜēqə		арбзара	ɑrbz ɑrɑ		ლოკავს	lɔkˀ ɑvs	leck	լիզել	lizɛl		
854	BITE	катoха	kətoxə		ацҳара	ɑč ʰħ ɑrɑ		უკბენს	ukˀbɛns	ukˀ.biene <> უკან ukˀɑn rücken, rück- back-	կծել	kəčɛl		
855	TEAR (SHRED)	схьадаккха	sʜədəqːə		амжəара	ɑmʐə ɑrɑ		გლეჯს	ɡlɛd͡ʒs	geleitz	պոկել	pɔkɛl		
856	CUT OFF	кхада	qədə	cut	ахҵəара	ɑχčʼə ɑrɑ		გაჭრის	ɡɑ çˀris	cut, ge•sker.is	կտրել 	kətɾɛl 		
857	TIE	дӏадехка	dʡədexkə		аҿаҳəара	ɑʈʈ͡ʂʼɑħə ɑrɑ		შეკრავს	ʃɛ kˀr ɑvs	√cord	կապել	kapɛl		
858	STICK (SOMETHING)	чудахийта	çu͡ʊdə̄xɪɪ̆tə		алаҵара	ɑlɑč ʼ ɑrɑ		ჩაასობს	çɑɑs ɔbs		խրել	χəɾɛl		
859	BREAK (DESTROY OR GET DESTROYED)	кагдан	kəɡ dən		аҧҵəара	ɑpʰ čʼə ɑrɑ		მოიტეხს	mɔitˀɛxs	𓍊𓅓𓆓𓏏  <> meissel	կոտրել 	kɔtɾɛl 		
860	KNOCK	детта	detːə		асра	ɑsrɑ		აკაკუნებს	ɑkˀɑkˀun ɛbs	knock-knock-en	թակել	tʰɑkɛl		
861	HIT	етта	etːə	hitte	ақəкшара	ɑkʰəkʼʂ ɑrɑ		ლეწავს	lɛčˀ ɑvs	latjaną > verletzen	ծեծել	čɛčɛl		
862	GLUE (SOMETHING)	тӏелато	tʼeləto		аҷабра	ɑçʼɑb rɑ	>>	წებავს	čˀɛb ɑvs		կպցնել	kəpəčʰnɛl		
863	RUB	хьекхо	ʜeqo		арҟəыҷра	ɑrqʼəɨç ʼrɑ		დაზელს	dɑ zɛls		շփել	əʃpʰɛl		
864	SPREAD (SOMETHING)	тlехьакха	tleʜəqə		ахьшьра	ɑχʲʃrɑ		უსვამს	usvɑms		վրան քսել	vəɾɑn kʰsɛl		
865	SHARPEN (SOMETHING)	ирдан	ɪr dən		ахра	ɑχrɑ		ლესავს	lɛs ɑvs	<> wetz?	սրել 	səɾɛl 		
866	CUT	ларга	lərɡə		аҧҟара	ɑpʰ qʼ ɑrɑ		გაჭრის	ɡɑçˀris	CUT.ar.is	կտրել	kətɾɛl		
867	JOG	лесто	lesto		арҵысра	ɑrčʼɨsrɑ		არხევს	ɑrx ɛvs		ցնցել	čʰənčʰɛl		
868	SHAKE	лесто	lesto		аршəшəара	ɑrʂəʂə ɑrɑ		არყევს	ɑrqˀ ɛvs		թափահարել	tʰɑpʰɑhɑɾɛl		
869	SWING (SOMETHING)	лесто	lestō		аҟьара	ɑqʼʲerɑ		აქნევს	ɑkʰn ɛvs		ճոճել	çɔçɛl		
870	POUR	дотта	dotːə		аҭаҭəара	ɑtʰɑtʰə ɑrɑ		ღვრის	ɣvris	> giess?	լցնել	ləčʰnɛl		
871	FILL	дуза	du͡ʊzə		арҭəра	ɑrtʰ ərɑ		გაავსებს	ɡɑ  ɑvs ɛbs	√gabe?	լիքը լցնել	likʰə lčʰnɛl		
872	WRAP	хьарчо	ʜərço		алаҳəара	ɑlɑħə ɑrɑ		შეახვევს	ʃɛ ɑxv ɛvs		փաթաթել	pʰɑtʰɑtʰɛl		
873	CARRY	дахьа	dəʜə		аҩагара	ɑɥɑɡ ɑrɑ		მიიტანს	miitˀɑns	mit-nehms	կրել	kəɾɛl		
874	DRAG	ийзо	iːzo		арҳəазара	ɑrħəɑz ɑrɑ		მიათრევს	miɑtʰr ɛvs	mit-tʰrɛvs drags	քաշել	kʰɑʃɛl		
875	PULL	озо	ozo		ахара	ɑχ ɑrɑ		წევს	čˀ ɛvs	zieh(es)	ձգել	d͡zəɡɛl		
876	KEEP	ӏалашдан	ʡələʃ dən		аҵəахра	ɑč ʼəɑχrɑ	𓋴 𓄫 𓅱 𓏮 𓁺	შეინახავს	ʃɛinɑx ɑvs	tenar šenax.va enough?  nax<>rax ৰাখা rakha	պահել 	pɑhɛl 		
877	THROW	кхосса	qosːə		аршəра	ɑrʂərɑ	a'throw	ისვრის	isvris	i'throws	նետել	nɛtɛl		
879	GRAB (SOMETHING)	леца	lēčə		анкра	ɑnk ʼrɑ		სტაცებს	stˀɑč ʰ ɛbs	statis	հափշտակել	hɑpʰʃtɑkɛl		
880	HIDE (CONCEAL)	къайладаккха	qʼəɪ̆lədəqːə		аҵəахра	ɑč ʼəɑχrɑ		მალავს	mɑl ɑvs	<<	ծածկել	čɑčkɛl		
881	DIVIDE	декъа	deqʼə	deci- 2	ашара	ɑʂ ɑrɑ		დაყოფს	dɑ qˀɔpʰs	do.chop deci- 2	բաժանել	bɑʒɑnɛl		
882	SEND	дӏадахьийта	dʡədəʜiːtə		ашьҭра	ɑʃtʰrɑ		გაგზავნის	ɡɑ ɡzɑvnis	ge.gsen.do send  𓋴𓃹𓈖𓌕𓊄	ուղարկել	uʁɑɾkɛl		
883	BRING	дан	 dən	don	аагара	ɑːɡ ɑrɑ		მოიტანს	mɔitˀɑns	mit.don  ta med ++ ma.trans <> getirmek นำ nam	բերել	bɛɾɛl		
884	ADD	тӏетоха	tʼetōxə	√total	ацҵара	ɑč ʰčʼ ɑrɑ		დაამატებს	dɑ ɑmɑtˀ ɛbs	damit to.math	ավելացնել	ɑvɛlɑčʰnɛl		
885	GET	даккха	dəqːə	take	аҧшаара	ɑpʰ ʂɑːrɑ		ამოიღებს	ɑmɔ iɣ ɛbs	ma.iɣ mis : give/take <> mögen?	հայթայթել	hɑjtʰɑjtʰɛl		
886	RECEIVE	даккха	dəqːə	take	аиура	ɑiurɑ		იღებს	iɣ ɛbs	[corrodet!]  eig- to.ɑɡ = take	ստանալ	əstɑnɑl		
887	TAKE	схьаэца	sʜəečə		агара	ɑɡ ɑrɑ		აიღებს	ɑiɣ ɛbs	eig- to.ɑɡ = take / fetch	վերցնել	vɛɾčʰnɛl		
888	CHOOSE	харжа	xərʒə	cherche	алҧшаара	ɑlpʰʂɑːrɑ	choissir	გადაარჩევს	ɡɑ dɑ ɑrç ɛvs	<>  ἐκλέ eklé αἱρέ hairé	ընտրել	əntɾɛl		
889	SELECT	харжа	xərʒə	cherche	алхра	ɑlχrɑ	<>	ამოარჩევს	ɑmɔ ɑrç ɛvs	"ɑrç харжа	xərʒə cherche choice"	գերադասել	ɡɛɾɑtʰɑsɛl		
890	PRESERVE	lалашдан	lələʃ dən					ინარჩუნებს	in ɑrç.un ɛbs		պահպանել	pɑhpɑnɛl		
891	HINDER	новкъарло ян	nɔ͡ʊqʼərlo jən		аҧырхагахара	ɑpʰ ɨrχɑɡɑ χ ɑrɑ		აბრკოლებს	ɑb rkˀɔl ɛbs	über-kol?	խոչընդոտել	χɔçʰəntʰɔtɛl		
892	SPOIL (SOMEBODY OR SOMETHING)	талхо	təlxo		алгара	ɑlɡ ɑrɑ		გააფუჭებს	ɡɑ ɑpʰ uçˀ ɛbs		փչացնել	pʰəçʰɑčʰnɛl		
893	DAMAGE	дохо	doxo	dox ;)	аҧхасҭатəра	ɑpʰ χɑstʰɑtʼ ərɑ		დააზიანებს	dɑ ɑziɑn ɛbs	doxo dash d'asian de-syn?	վնասել	vənɑsɛl		
894	BREAK (CLEAVE)	дохо	doxo		аҧҽра	ɑpʰ ʈ͡ʂʰrɑ		დაამტვრევს	dɑ ɑmtˀvr ɛvs		ջարդել	d͡ʒɑɾtʰɛl		
895	SHRED	хадо	xədo		аҧжəара	ɑpʰ ʐə ɑrɑ		გახევს	ɡɑ x ɛvs	gash ge-x-red geschreddert	պատռել	pɑtrɛl		
